Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Sudurpashchim,Achham,598,1,7,0
2020-07-08,Sudurpashchim,Achham,620,1,7,0
2020-07-09,Sudurpashchim,Achham,624,1,7,0
2020-07-10,Sudurpashchim,Achham,624,1,7,0
2020-07-11,Sudurpashchim,Achham,625,1,7,0
2020-07-12,Sudurpashchim,Achham,625,1,7,0
2020-07-13,Sudurpashchim,Achham,626,1,7,0
2020-07-14,Sudurpashchim,Achham,640,1,7,0
2020-07-15,Sudurpashchim,Achham,642,1,7,0
2020-07-16,Sudurpashchim,Achham,646,1,7,0
2020-07-17,Sudurpashchim,Achham,646,1,7,0
2020-07-18,Sudurpashchim,Achham,646,1,7,0
2020-07-19,Sudurpashchim,Achham,646,1,7,0
2020-07-20,Sudurpashchim,Achham,646,1,7,0
2020-07-21,Sudurpashchim,Achham,646,1,7,0
2020-07-22,Sudurpashchim,Achham,646,1,7,0
2020-07-23,Sudurpashchim,Achham,646,1,7,0
2020-07-24,Sudurpashchim,Achham,646,1,7,0
2020-07-25,Sudurpashchim,Achham,649,1,7,0
2020-07-26,Sudurpashchim,Achham,663,1,7,0
2020-07-27,Sudurpashchim,Achham,663,1,7,0
2020-07-28,Sudurpashchim,Achham,679,1,7,0
2020-07-29,Sudurpashchim,Achham,679,1,7,0
2020-07-30,Sudurpashchim,Achham,679,1,7,0
2020-07-31,Sudurpashchim,Achham,679,1,7,0
2020-08-01,Sudurpashchim,Achham,707,1,7,0
2020-08-02,Sudurpashchim,Achham,707,1,7,0
2020-08-03,Sudurpashchim,Achham,710,1,556,0
2020-08-04,Sudurpashchim,Achham,721,1,556,0
2020-08-05,Sudurpashchim,Achham,721,1,556,0
2020-08-06,Sudurpashchim,Achham,728,1,556,0
2020-08-07,Sudurpashchim,Achham,729,1,556,0
2020-08-08,Sudurpashchim,Achham,729,1,556,0
2020-08-09,Sudurpashchim,Achham,729,1,556,0
2020-08-10,Sudurpashchim,Achham,730,1,556,0
2020-08-11,Sudurpashchim,Achham,731,1,556,0
2020-08-12,Sudurpashchim,Achham,731,1,556,0
2020-08-13,Sudurpashchim,Achham,731,2,556,0
2020-08-14,Sudurpashchim,Achham,737,2,556,0
2020-08-15,Sudurpashchim,Achham,737,2,556,0
2020-08-16,Sudurpashchim,Achham,737,2,556,0
2020-08-17,Sudurpashchim,Achham,737,2,556,0
2020-08-18,Sudurpashchim,Achham,737,2,556,0
2020-08-19,Sudurpashchim,Achham,740,2,556,0
2020-08-20,Sudurpashchim,Achham,771,2,556,0
2020-08-21,Sudurpashchim,Achham,809,2,556,0
2020-08-22,Sudurpashchim,Achham,809,2,556,0
2020-08-23,Sudurpashchim,Achham,832,2,556,0
2020-08-24,Sudurpashchim,Achham,832,2,556,0
2020-08-25,Sudurpashchim,Achham,851,2,556,0
2020-08-26,Sudurpashchim,Achham,871,2,556,0
2020-08-27,Sudurpashchim,Achham,871,2,556,0
2020-08-28,Sudurpashchim,Achham,871,2,556,0
2020-08-29,Sudurpashchim,Achham,871,2,556,0
2020-08-30,Sudurpashchim,Achham,879,2,556,0
2020-08-31,Sudurpashchim,Achham,902,2,556,0
2020-09-01,Sudurpashchim,Achham,915,2,556,0
2020-09-02,Sudurpashchim,Achham,916,2,556,0
2020-09-03,Sudurpashchim,Achham,922,2,556,0
2020-09-04,Sudurpashchim,Achham,923,2,556,0
2020-09-05,Sudurpashchim,Achham,923,2,556,0
2020-09-06,Sudurpashchim,Achham,934,2,556,0
2020-09-07,Sudurpashchim,Achham,934,2,556,0
2020-09-08,Sudurpashchim,Achham,934,2,556,0
2020-09-09,Sudurpashchim,Achham,935,2,556,0
2020-09-10,Sudurpashchim,Achham,935,2,556,0
2020-09-11,Sudurpashchim,Achham,935,2,556,0
2020-09-12,Sudurpashchim,Achham,935,2,556,0
2020-09-13,Sudurpashchim,Achham,937,2,556,0
2020-09-14,Sudurpashchim,Achham,942,2,556,0
2020-09-15,Sudurpashchim,Achham,942,2,556,0
2020-09-16,Sudurpashchim,Achham,943,2,556,0
2020-09-17,Sudurpashchim,Achham,965,2,556,0
2020-09-18,Sudurpashchim,Achham,981,2,556,0
2020-09-19,Sudurpashchim,Achham,981,2,556,0
2020-09-20,Sudurpashchim,Achham,991,2,556,0
2020-09-21,Sudurpashchim,Achham,994,2,556,0
2020-09-22,Sudurpashchim,Achham,994,2,556,0
