Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Province 5,Arghakhanchi,338,2,2,0
2020-07-08,Province 5,Arghakhanchi,338,2,2,0
2020-07-09,Province 5,Arghakhanchi,338,2,2,0
2020-07-10,Province 5,Arghakhanchi,338,2,2,0
2020-07-11,Province 5,Arghakhanchi,338,2,2,0
2020-07-12,Province 5,Arghakhanchi,338,2,2,0
2020-07-13,Province 5,Arghakhanchi,338,2,2,0
2020-07-14,Province 5,Arghakhanchi,341,2,2,0
2020-07-15,Province 5,Arghakhanchi,341,2,2,0
2020-07-16,Province 5,Arghakhanchi,341,2,2,0
2020-07-17,Province 5,Arghakhanchi,341,2,2,0
2020-07-18,Province 5,Arghakhanchi,341,2,2,0
2020-07-19,Province 5,Arghakhanchi,341,2,2,0
2020-07-20,Province 5,Arghakhanchi,341,2,2,0
2020-07-21,Province 5,Arghakhanchi,341,2,2,0
2020-07-22,Province 5,Arghakhanchi,341,2,2,0
2020-07-23,Province 5,Arghakhanchi,341,2,2,0
2020-07-24,Province 5,Arghakhanchi,341,2,2,0
2020-07-25,Province 5,Arghakhanchi,341,2,2,0
2020-07-26,Province 5,Arghakhanchi,342,2,2,0
2020-07-27,Province 5,Arghakhanchi,342,2,2,0
2020-07-28,Province 5,Arghakhanchi,342,2,2,0
2020-07-29,Province 5,Arghakhanchi,342,2,2,0
2020-07-30,Province 5,Arghakhanchi,343,2,2,0
2020-07-31,Province 5,Arghakhanchi,343,2,2,0
2020-08-01,Province 5,Arghakhanchi,343,2,2,0
2020-08-02,Province 5,Arghakhanchi,343,2,2,0
2020-08-03,Province 5,Arghakhanchi,345,1,320,0
2020-08-04,Province 5,Arghakhanchi,345,1,320,0
2020-08-05,Province 5,Arghakhanchi,345,1,320,0
2020-08-06,Province 5,Arghakhanchi,345,1,320,0
2020-08-07,Province 5,Arghakhanchi,345,1,320,0
2020-08-08,Province 5,Arghakhanchi,345,1,320,0
2020-08-09,Province 5,Arghakhanchi,345,1,320,0
2020-08-10,Province 5,Arghakhanchi,346,1,320,0
2020-08-11,Province 5,Arghakhanchi,347,1,320,0
2020-08-12,Province 5,Arghakhanchi,350,1,320,0
2020-08-13,Province 5,Arghakhanchi,350,1,320,0
2020-08-14,Province 5,Arghakhanchi,350,1,320,0
2020-08-15,Province 5,Arghakhanchi,350,1,320,0
2020-08-16,Province 5,Arghakhanchi,360,1,320,0
2020-08-17,Province 5,Arghakhanchi,361,1,320,0
2020-08-18,Province 5,Arghakhanchi,361,1,320,0
2020-08-19,Province 5,Arghakhanchi,361,1,320,0
2020-08-20,Province 5,Arghakhanchi,361,1,320,0
2020-08-21,Province 5,Arghakhanchi,362,1,320,0
2020-08-22,Province 5,Arghakhanchi,362,1,320,0
2020-08-23,Province 5,Arghakhanchi,374,1,320,0
2020-08-24,Province 5,Arghakhanchi,375,1,320,0
2020-08-25,Province 5,Arghakhanchi,376,1,320,0
2020-08-26,Province 5,Arghakhanchi,377,1,320,0
2020-08-27,Province 5,Arghakhanchi,377,1,320,0
2020-08-28,Province 5,Arghakhanchi,379,1,320,0
2020-08-29,Province 5,Arghakhanchi,379,1,320,0
2020-08-30,Province 5,Arghakhanchi,382,1,320,0
2020-08-31,Province 5,Arghakhanchi,384,1,320,0
2020-09-01,Province 5,Arghakhanchi,393,1,320,0
2020-09-02,Province 5,Arghakhanchi,394,1,320,0
2020-09-03,Province 5,Arghakhanchi,394,1,320,0
2020-09-04,Province 5,Arghakhanchi,394,1,320,0
2020-09-05,Province 5,Arghakhanchi,395,1,320,0
2020-09-06,Province 5,Arghakhanchi,406,1,320,0
2020-09-07,Province 5,Arghakhanchi,406,1,320,0
2020-09-08,Province 5,Arghakhanchi,407,1,320,0
2020-09-09,Province 5,Arghakhanchi,407,2,320,0
2020-09-10,Province 5,Arghakhanchi,409,2,320,0
2020-09-11,Province 5,Arghakhanchi,409,2,320,0
2020-09-12,Province 5,Arghakhanchi,412,2,320,0
2020-09-13,Province 5,Arghakhanchi,412,2,320,0
2020-09-14,Province 5,Arghakhanchi,413,2,320,0
2020-09-15,Province 5,Arghakhanchi,416,2,320,0
