Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Sudurpashchim,Bajura,623,1,0,0
2020-07-08,Sudurpashchim,Bajura,623,1,0,0
2020-07-09,Sudurpashchim,Bajura,625,1,0,0
2020-07-10,Sudurpashchim,Bajura,626,1,0,0
2020-07-11,Sudurpashchim,Bajura,626,1,0,0
2020-07-12,Sudurpashchim,Bajura,626,1,0,0
2020-07-13,Sudurpashchim,Bajura,626,1,0,0
2020-07-14,Sudurpashchim,Bajura,626,1,0,0
2020-07-15,Sudurpashchim,Bajura,626,1,0,0
2020-07-16,Sudurpashchim,Bajura,626,1,0,0
2020-07-17,Sudurpashchim,Bajura,626,1,0,0
2020-07-18,Sudurpashchim,Bajura,626,1,0,0
2020-07-19,Sudurpashchim,Bajura,626,1,0,0
2020-07-20,Sudurpashchim,Bajura,626,1,0,0
2020-07-21,Sudurpashchim,Bajura,626,1,0,0
2020-07-22,Sudurpashchim,Bajura,626,1,0,0
2020-07-23,Sudurpashchim,Bajura,626,1,0,0
2020-07-24,Sudurpashchim,Bajura,626,1,0,0
2020-07-25,Sudurpashchim,Bajura,626,1,0,0
2020-07-26,Sudurpashchim,Bajura,629,1,0,0
2020-07-27,Sudurpashchim,Bajura,629,1,0,0
2020-07-28,Sudurpashchim,Bajura,629,1,0,0
2020-07-29,Sudurpashchim,Bajura,629,1,0,0
2020-07-30,Sudurpashchim,Bajura,629,1,0,0
2020-07-31,Sudurpashchim,Bajura,629,1,0,0
2020-08-01,Sudurpashchim,Bajura,629,1,0,0
2020-08-02,Sudurpashchim,Bajura,629,1,0,0
2020-08-03,Sudurpashchim,Bajura,619,1,253,0
2020-08-04,Sudurpashchim,Bajura,619,1,253,0
2020-08-05,Sudurpashchim,Bajura,619,1,253,0
2020-08-06,Sudurpashchim,Bajura,622,1,253,0
2020-08-07,Sudurpashchim,Bajura,622,1,253,0
2020-08-08,Sudurpashchim,Bajura,622,1,253,0
2020-08-09,Sudurpashchim,Bajura,622,1,253,0
2020-08-10,Sudurpashchim,Bajura,622,1,253,0
2020-08-11,Sudurpashchim,Bajura,622,1,253,0
2020-08-12,Sudurpashchim,Bajura,622,1,253,0
2020-08-13,Sudurpashchim,Bajura,622,1,253,0
2020-08-14,Sudurpashchim,Bajura,623,1,253,0
2020-08-15,Sudurpashchim,Bajura,623,1,253,0
2020-08-16,Sudurpashchim,Bajura,623,1,253,0
2020-08-17,Sudurpashchim,Bajura,623,1,253,0
2020-08-18,Sudurpashchim,Bajura,623,1,253,0
2020-08-19,Sudurpashchim,Bajura,623,1,253,0
2020-08-20,Sudurpashchim,Bajura,623,1,253,0
2020-08-21,Sudurpashchim,Bajura,623,1,253,0
2020-08-22,Sudurpashchim,Bajura,623,1,253,0
2020-08-23,Sudurpashchim,Bajura,623,1,253,0
2020-08-24,Sudurpashchim,Bajura,624,1,253,0
2020-08-25,Sudurpashchim,Bajura,624,1,253,0
2020-08-26,Sudurpashchim,Bajura,624,1,253,0
2020-08-27,Sudurpashchim,Bajura,624,1,253,0
2020-08-28,Sudurpashchim,Bajura,624,1,253,0
2020-08-29,Sudurpashchim,Bajura,624,1,253,0
2020-08-30,Sudurpashchim,Bajura,624,1,253,0
2020-08-31,Sudurpashchim,Bajura,624,1,253,0
2020-09-01,Sudurpashchim,Bajura,624,1,253,0
2020-09-02,Sudurpashchim,Bajura,624,1,253,0
2020-09-03,Sudurpashchim,Bajura,624,1,253,0
2020-09-04,Sudurpashchim,Bajura,624,1,253,0
2020-09-05,Sudurpashchim,Bajura,624,1,253,0
2020-09-06,Sudurpashchim,Bajura,624,1,253,0
2020-09-07,Sudurpashchim,Bajura,625,1,253,0
2020-09-08,Sudurpashchim,Bajura,625,1,253,0
2020-09-09,Sudurpashchim,Bajura,625,1,253,0
2020-09-10,Sudurpashchim,Bajura,626,1,253,0
2020-09-11,Sudurpashchim,Bajura,626,1,253,0
2020-09-12,Sudurpashchim,Bajura,626,1,253,0
2020-09-13,Sudurpashchim,Bajura,626,1,253,0
2020-09-14,Sudurpashchim,Bajura,626,1,253,0
2020-09-15,Sudurpashchim,Bajura,626,1,253,0
2020-09-16,Sudurpashchim,Bajura,626,1,253,0
2020-09-17,Sudurpashchim,Bajura,626,1,253,0
2020-09-18,Sudurpashchim,Bajura,629,1,253,0
2020-09-19,Sudurpashchim,Bajura,629,1,253,0
2020-09-20,Sudurpashchim,Bajura,629,1,253,0
2020-09-21,Sudurpashchim,Bajura,630,1,253,0
2020-09-22,Sudurpashchim,Bajura,630,1,253,0
2020-09-23,Sudurpashchim,Bajura,631,1,253,0
2020-09-24,Sudurpashchim,Bajura,631,1,253,0
2020-09-25,Sudurpashchim,Bajura,631,1,253,0
2020-09-26,Sudurpashchim,Bajura,631,1,253,0
2020-09-27,Sudurpashchim,Bajura,631,1,253,0
2020-09-28,Sudurpashchim,Bajura,631,1,253,0
2020-09-29,Sudurpashchim,Bajura,631,1,253,0
2020-09-30,Sudurpashchim,Bajura,631,1,253,0
2020-10-01,Sudurpashchim,Bajura,631,1,253,0
2020-10-02,Sudurpashchim,Bajura,632,1,253,0
2020-10-03,Sudurpashchim,Bajura,633,1,253,0
2020-10-04,Sudurpashchim,Bajura,633,1,253,0
2020-10-05,Sudurpashchim,Bajura,634,1,253,0
2020-10-06,Sudurpashchim,Bajura,634,1,253,0
2020-10-07,Sudurpashchim,Bajura,634,1,253,0
2020-10-08,Sudurpashchim,Bajura,634,1,253,0
2020-10-09,Sudurpashchim,Bajura,634,1,253,0
2020-10-10,Sudurpashchim,Bajura,634,1,253,0
2020-10-11,Sudurpashchim,Bajura,634,1,253,0
2020-10-12,Sudurpashchim,Bajura,635,1,253,0
2020-10-13,Sudurpashchim,Bajura,635,1,253,0
2020-10-14,Sudurpashchim,Bajura,635,1,253,0
2020-10-15,Sudurpashchim,Bajura,636,1,253,0
2020-10-16,Sudurpashchim,Bajura,637,1,253,0
2020-10-17,Sudurpashchim,Bajura,637,1,253,0
2020-10-18,Sudurpashchim,Bajura,637,1,253,0
2020-10-19,Sudurpashchim,Bajura,636,1,253,0
2020-10-20,Sudurpashchim,Bajura,636,1,253,0
2020-10-21,Sudurpashchim,Bajura,636,1,253,0
2020-10-22,Sudurpashchim,Bajura,637,1,253,0
2020-10-23,Sudurpashchim,Bajura,637,1,253,0
2020-10-25,Sudurpashchim,Bajura,637,1,253,0
2020-10-26,Sudurpashchim,Bajura,637,1,253,0
2020-10-27,Sudurpashchim,Bajura,637,1,253,0
2020-10-28,Sudurpashchim,Bajura,637,1,253,0
2020-10-29,Sudurpashchim,Bajura,637,1,253,0
2020-10-30,Sudurpashchim,Bajura,637,1,253,0
2020-10-31,Sudurpashchim,Bajura,637,1,253,0
2020-11-01,Sudurpashchim,Bajura,637,1,253,0
2020-11-02,Sudurpashchim,Bajura,637,1,253,0
2020-11-03,Sudurpashchim,Bajura,637,1,253,0
2020-11-04,Sudurpashchim,Bajura,637,1,253,0
2020-11-05,Sudurpashchim,Bajura,637,1,253,0
2020-11-06,Sudurpashchim,Bajura,638,1,253,0
2020-11-07,Sudurpashchim,Bajura,638,1,253,0
2020-11-08,Sudurpashchim,Bajura,639,1,253,0
2020-11-09,Sudurpashchim,Bajura,645,1,253,0
2020-11-10,Sudurpashchim,Bajura,649,1,253,0
2020-11-11,Sudurpashchim,Bajura,649,1,253,0
2020-11-12,Sudurpashchim,Bajura,649,1,253,0
2020-11-13,Sudurpashchim,Bajura,651,1,253,0
2020-11-14,Sudurpashchim,Bajura,651,1,253,0
2020-11-15,Sudurpashchim,Bajura,651,1,253,0
2020-11-16,Sudurpashchim,Bajura,651,1,253,0
2020-11-17,Sudurpashchim,Bajura,651,1,253,0
2020-11-18,Sudurpashchim,Bajura,651,1,253,0
2020-11-19,Sudurpashchim,Bajura,651,1,253,0
2020-11-20,Sudurpashchim,Bajura,652,1,253,0
2020-11-21,Sudurpashchim,Bajura,653,1,253,0
2020-11-22,Sudurpashchim,Bajura,653,1,253,0
2020-11-23,Sudurpashchim,Bajura,653,1,253,0
2020-11-24,Sudurpashchim,Bajura,653,1,253,0
2020-11-25,Sudurpashchim,Bajura,657,1,253,0
2020-11-26,Sudurpashchim,Bajura,657,1,253,0
2020-11-27,Sudurpashchim,Bajura,657,1,253,0
2020-11-28,Sudurpashchim,Bajura,657,1,253,0
2020-11-29,Sudurpashchim,Bajura,657,1,253,0
2020-11-30,Sudurpashchim,Bajura,662,1,253,0
2020-12-01,Sudurpashchim,Bajura,668,1,253,0
2020-12-02,Sudurpashchim,Bajura,668,1,253,0
2020-12-03,Sudurpashchim,Bajura,676,1,253,0
2020-12-04,Sudurpashchim,Bajura,676,1,253,0
2020-12-05,Sudurpashchim,Bajura,676,1,253,0
2020-12-06,Sudurpashchim,Bajura,676,1,253,0
2020-12-07,Sudurpashchim,Bajura,677,1,253,0
2020-12-08,Sudurpashchim,Bajura,679,1,253,0
2020-12-09,Sudurpashchim,Bajura,685,1,253,0
2020-12-10,Sudurpashchim,Bajura,685,1,253,0
2020-12-11,Sudurpashchim,Bajura,685,1,253,0
2020-12-12,Sudurpashchim,Bajura,685,1,253,0
2020-12-13,Sudurpashchim,Bajura,685,1,253,0
2020-12-14,Sudurpashchim,Bajura,686,1,253,0
2020-12-15,Sudurpashchim,Bajura,686,1,253,0
2020-12-16,Sudurpashchim,Bajura,686,1,,0
2020-12-17,Sudurpashchim,Bajura,686,1,,0
2020-12-18,Sudurpashchim,Bajura,703,1,,0
2020-12-19,Sudurpashchim,Bajura,703,1,,0
2020-12-20,Sudurpashchim,Bajura,703,1,,0
2020-12-21,Sudurpashchim,Bajura,703,1,,0
2020-12-22,Sudurpashchim,Bajura,703,1,,0
2020-12-23,Sudurpashchim,Bajura,704,1,,0
2020-12-24,Sudurpashchim,Bajura,705,1,,0
2020-12-25,Sudurpashchim,Bajura,705,1,,0
2020-12-26,Sudurpashchim,Bajura,705,1,,0
2020-12-27,Sudurpashchim,Bajura,705,1,,0
2020-12-28,Sudurpashchim,Bajura,707,1,,0
2020-12-29,Sudurpashchim,Bajura,707,1,,0
2020-12-30,Sudurpashchim,Bajura,707,2,,0
2020-12-31,Sudurpashchim,Bajura,707,2,,0
2021-01-01,Sudurpashchim,Bajura,715,2,,0
2021-01-02,Sudurpashchim,Bajura,715,2,,0
2021-01-03,Sudurpashchim,Bajura,715,2,,0
2021-01-04,Sudurpashchim,Bajura,715,2,,0
2021-01-05,Sudurpashchim,Bajura,715,2,,0
2021-01-06,Sudurpashchim,Bajura,715,2,,0
2021-01-07,Sudurpashchim,Bajura,715,2,,0
2021-01-08,Sudurpashchim,Bajura,716,2,,0
2021-01-09,Sudurpashchim,Bajura,717,2,,0
2021-01-10,Sudurpashchim,Bajura,717,2,,0
2021-01-11,Sudurpashchim,Bajura,717,2,,0
2021-01-12,Sudurpashchim,Bajura,717,2,,0
2021-01-13,Sudurpashchim,Bajura,717,2,,0
2021-01-14,Sudurpashchim,Bajura,717,2,,0
2021-01-15,Sudurpashchim,Bajura,718,2,,0
2021-01-16,Sudurpashchim,Bajura,720,2,,0
2021-01-17,Sudurpashchim,Bajura,720,2,,0
2021-01-18,Sudurpashchim,Bajura,720,2,,0
2021-01-19,Sudurpashchim,Bajura,720,2,,0
2021-01-20,Sudurpashchim,Bajura,721,2,,0
2021-01-21,Sudurpashchim,Bajura,722,2,,0
2021-01-22,Sudurpashchim,Bajura,722,2,,0
2021-01-23,Sudurpashchim,Bajura,722,2,,0
2021-01-24,Sudurpashchim,Bajura,722,2,,0
2021-01-25,Sudurpashchim,Bajura,722,2,,0
2021-01-26,Sudurpashchim,Bajura,723,2,,0
2021-01-27,Sudurpashchim,Bajura,723,2,,0
2021-01-28,Sudurpashchim,Bajura,723,2,,0
2021-01-29,Sudurpashchim,Bajura,723,2,,0
2021-01-30,Sudurpashchim,Bajura,723,2,,0
2021-01-31,Sudurpashchim,Bajura,723,2,,0
2021-02-01,Sudurpashchim,Bajura,723,2,,0
2021-02-02,Sudurpashchim,Bajura,723,2,,0
2021-02-03,Sudurpashchim,Bajura,723,2,,0
2021-02-04,Sudurpashchim,Bajura,723,2,,0
2021-02-05,Sudurpashchim,Bajura,723,2,,0
2021-02-06,Sudurpashchim,Bajura,723,2,,0
2021-02-07,Sudurpashchim,Bajura,723,2,,0
2021-02-08,Sudurpashchim,Bajura,724,2,,0
2021-02-09,Sudurpashchim,Bajura,724,2,,0
2021-02-10,Sudurpashchim,Bajura,724,2,,0
2021-02-11,Sudurpashchim,Bajura,724,2,,0
2021-02-12,Sudurpashchim,Bajura,724,2,,0
2021-02-13,Sudurpashchim,Bajura,724,2,,0
2021-02-14,Sudurpashchim,Bajura,724,2,,0
2021-02-15,Sudurpashchim,Bajura,724,2,,0
2021-02-16,Sudurpashchim,Bajura,724,2,,0
2021-02-17,Sudurpashchim,Bajura,724,2,,0
2021-02-18,Sudurpashchim,Bajura,724,2,,0
2021-02-19,Sudurpashchim,Bajura,724,2,,0
2021-02-20,Sudurpashchim,Bajura,724,2,,0
2021-02-21,Sudurpashchim,Bajura,724,2,,0
2021-02-22,Sudurpashchim,Bajura,724,2,,0
2021-02-23,Sudurpashchim,Bajura,724,2,,0
2021-02-24,Sudurpashchim,Bajura,724,2,,0
2021-02-25,Sudurpashchim,Bajura,724,2,,0
2021-02-26,Sudurpashchim,Bajura,724,2,,0
2021-02-27,Sudurpashchim,Bajura,724,2,,0
2021-02-28,Sudurpashchim,Bajura,724,2,,0
2021-03-01,Sudurpashchim,Bajura,724,2,,0
2021-03-02,Sudurpashchim,Bajura,724,2,,0
2021-03-03,Sudurpashchim,Bajura,724,2,,0
2021-03-04,Sudurpashchim,Bajura,724,2,,0
2021-03-05,Sudurpashchim,Bajura,724,2,,0
2021-03-06,Sudurpashchim,Bajura,724,2,,0
2021-03-07,Sudurpashchim,Bajura,724,2,,0
2021-03-08,Sudurpashchim,Bajura,724,2,,0
2021-03-09,Sudurpashchim,Bajura,724,2,,0
2021-03-10,Sudurpashchim,Bajura,724,2,,0
2021-03-11,Sudurpashchim,Bajura,724,2,,0
2021-03-12,Sudurpashchim,Bajura,724,2,,0
2021-03-13,Sudurpashchim,Bajura,724,2,,0
2021-03-14,Sudurpashchim,Bajura,724,2,,0
2021-03-15,Sudurpashchim,Bajura,724,2,,0
2021-03-16,Sudurpashchim,Bajura,724,2,,0
2021-03-17,Sudurpashchim,Bajura,724,2,,0
2021-03-18,Sudurpashchim,Bajura,724,2,,0
2021-03-19,Sudurpashchim,Bajura,724,2,,0
2021-03-20,Sudurpashchim,Bajura,724,2,,0
2021-03-21,Sudurpashchim,Bajura,724,2,,0
2021-03-22,Sudurpashchim,Bajura,724,2,,0
2021-03-23,Sudurpashchim,Bajura,724,2,,0
2021-03-24,Sudurpashchim,Bajura,724,2,,0
2021-03-25,Sudurpashchim,Bajura,724,2,,0
2021-03-26,Sudurpashchim,Bajura,724,2,,0
2021-03-27,Sudurpashchim,Bajura,724,2,,0
2021-03-28,Sudurpashchim,Bajura,724,2,,0
2021-03-29,Sudurpashchim,Bajura,724,2,,0
2021-03-30,Sudurpashchim,Bajura,724,2,,0
2021-03-31,Sudurpashchim,Bajura,724,2,,0
2021-04-01,Sudurpashchim,Bajura,724,2,,0
2021-04-02,Sudurpashchim,Bajura,724,2,,0
2021-04-03,Sudurpashchim,Bajura,724,2,,0
2021-04-04,Sudurpashchim,Bajura,724,2,,0
2021-04-05,Sudurpashchim,Bajura,724,2,,0
2021-04-06,Sudurpashchim,Bajura,724,2,,0
2021-04-07,Sudurpashchim,Bajura,724,2,,0
2021-04-08,Sudurpashchim,Bajura,724,2,,0
2021-04-09,Sudurpashchim,Bajura,724,2,,0
2021-04-10,Sudurpashchim,Bajura,724,2,,0
