Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Province 2,Bara,128,2,71,0
2020-07-08,Province 2,Bara,129,2,71,0
2020-07-09,Province 2,Bara,129,2,71,0
2020-07-10,Province 2,Bara,129,2,71,0
2020-07-11,Province 2,Bara,129,2,71,0
2020-07-12,Province 2,Bara,129,2,71,0
2020-07-13,Province 2,Bara,129,2,71,0
2020-07-14,Province 2,Bara,129,2,71,0
2020-07-15,Province 2,Bara,129,2,71,0
2020-07-16,Province 2,Bara,130,2,71,0
2020-07-17,Province 2,Bara,133,2,71,0
2020-07-18,Province 2,Bara,134,2,71,0
2020-07-19,Province 2,Bara,135,2,71,0
2020-07-20,Province 2,Bara,181,2,71,0
2020-07-21,Province 2,Bara,181,2,71,0
2020-07-22,Province 2,Bara,184,2,71,0
2020-07-23,Province 2,Bara,185,2,71,0
2020-07-24,Province 2,Bara,186,2,71,0
2020-07-25,Province 2,Bara,189,3,71,0
2020-07-26,Province 2,Bara,190,3,71,0
2020-07-27,Province 2,Bara,190,4,71,0
2020-07-28,Province 2,Bara,195,4,71,0
2020-07-29,Province 2,Bara,195,4,71,0
2020-07-30,Province 2,Bara,207,4,71,0
2020-07-31,Province 2,Bara,211,4,71,0
2020-08-01,Province 2,Bara,212,4,71,0
2020-08-02,Province 2,Bara,212,4,71,0
2020-08-03,Province 2,Bara,216,3,141,0
2020-08-04,Province 2,Bara,223,3,141,0
2020-08-05,Province 2,Bara,251,3,141,0
2020-08-06,Province 2,Bara,265,3,141,0
2020-08-07,Province 2,Bara,274,3,141,0
2020-08-08,Province 2,Bara,281,3,141,0
2020-08-09,Province 2,Bara,285,3,141,0
2020-08-10,Province 2,Bara,288,3,141,0
2020-08-11,Province 2,Bara,327,3,141,0
2020-08-12,Province 2,Bara,342,4,141,0
2020-08-13,Province 2,Bara,343,4,141,0
2020-08-14,Province 2,Bara,366,6,141,0
2020-08-15,Province 2,Bara,369,6,141,0
2020-08-16,Province 2,Bara,442,6,141,0
2020-08-17,Province 2,Bara,501,6,141,0
2020-08-18,Province 2,Bara,543,6,141,0
2020-08-19,Province 2,Bara,558,6,141,0
2020-08-20,Province 2,Bara,566,6,141,0
2020-08-21,Province 2,Bara,606,7,141,0
2020-08-22,Province 2,Bara,616,8,141,0
2020-08-23,Province 2,Bara,655,8,141,0
2020-08-24,Province 2,Bara,669,8,141,0
2020-08-25,Province 2,Bara,686,8,141,0
2020-08-26,Province 2,Bara,710,10,141,0
2020-08-27,Province 2,Bara,740,12,141,0
2020-08-28,Province 2,Bara,744,12,141,0
