Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Bagmati,Bhaktapur,42,0,8,0
2020-07-08,Bagmati,Bhaktapur,42,0,8,0
2020-07-09,Bagmati,Bhaktapur,42,0,8,0
2020-07-10,Bagmati,Bhaktapur,43,0,8,0
2020-07-11,Bagmati,Bhaktapur,43,0,8,0
2020-07-12,Bagmati,Bhaktapur,43,0,8,0
2020-07-13,Bagmati,Bhaktapur,44,0,8,0
2020-07-14,Bagmati,Bhaktapur,44,0,8,0
2020-07-15,Bagmati,Bhaktapur,44,0,8,0
2020-07-16,Bagmati,Bhaktapur,44,0,8,0
2020-07-17,Bagmati,Bhaktapur,46,0,8,0
2020-07-18,Bagmati,Bhaktapur,46,0,8,0
2020-07-19,Bagmati,Bhaktapur,46,0,8,0
2020-07-20,Bagmati,Bhaktapur,46,0,8,0
2020-07-21,Bagmati,Bhaktapur,46,0,8,0
2020-07-22,Bagmati,Bhaktapur,46,0,8,0
2020-07-23,Bagmati,Bhaktapur,48,0,8,0
2020-07-24,Bagmati,Bhaktapur,48,0,8,0
2020-07-25,Bagmati,Bhaktapur,48,0,8,0
2020-07-26,Bagmati,Bhaktapur,48,0,8,0
2020-07-27,Bagmati,Bhaktapur,48,0,8,0
2020-07-28,Bagmati,Bhaktapur,49,0,8,0
2020-07-29,Bagmati,Bhaktapur,50,0,8,0
