Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Province 1,Bhojpur,6,0,6,0
2020-07-08,Province 1,Bhojpur,6,0,6,0
2020-07-09,Province 1,Bhojpur,6,0,6,0
2020-07-10,Province 1,Bhojpur,6,0,6,0
2020-07-11,Province 1,Bhojpur,6,0,6,0
2020-07-12,Province 1,Bhojpur,6,0,6,0
2020-07-13,Province 1,Bhojpur,6,0,6,0
2020-07-14,Province 1,Bhojpur,6,0,6,0
2020-07-15,Province 1,Bhojpur,6,0,6,0
2020-07-16,Province 1,Bhojpur,6,0,6,0
2020-07-17,Province 1,Bhojpur,6,0,6,0
2020-07-18,Province 1,Bhojpur,6,0,6,0
2020-07-19,Province 1,Bhojpur,6,0,6,0
2020-07-20,Province 1,Bhojpur,6,0,6,0
2020-07-21,Province 1,Bhojpur,6,0,6,0
2020-07-22,Province 1,Bhojpur,6,0,6,0
2020-07-23,Province 1,Bhojpur,6,0,6,0
2020-07-24,Province 1,Bhojpur,6,0,6,0
2020-07-25,Province 1,Bhojpur,6,0,6,0
2020-07-26,Province 1,Bhojpur,6,0,6,0
2020-07-27,Province 1,Bhojpur,6,0,6,0
2020-07-28,Province 1,Bhojpur,6,0,6,0
2020-07-29,Province 1,Bhojpur,6,0,6,0
2020-07-30,Province 1,Bhojpur,6,0,6,0
2020-07-31,Province 1,Bhojpur,6,0,6,0
2020-08-01,Province 1,Bhojpur,6,0,6,0
2020-08-02,Province 1,Bhojpur,6,0,6,0
2020-08-03,Province 1,Bhojpur,6,0,6,0
2020-08-04,Province 1,Bhojpur,6,0,6,0
2020-08-05,Province 1,Bhojpur,6,0,6,0
2020-08-06,Province 1,Bhojpur,8,0,6,0
2020-08-07,Province 1,Bhojpur,8,0,6,0
2020-08-08,Province 1,Bhojpur,8,0,6,0
2020-08-09,Province 1,Bhojpur,8,0,6,0
2020-08-10,Province 1,Bhojpur,8,0,6,0
2020-08-11,Province 1,Bhojpur,8,0,6,0
2020-08-12,Province 1,Bhojpur,8,0,6,0
2020-08-13,Province 1,Bhojpur,8,0,6,0
2020-08-14,Province 1,Bhojpur,8,0,6,0
2020-08-15,Province 1,Bhojpur,8,0,6,0
2020-08-16,Province 1,Bhojpur,8,0,6,0
2020-08-17,Province 1,Bhojpur,8,0,6,0
2020-08-18,Province 1,Bhojpur,8,0,6,0
2020-08-19,Province 1,Bhojpur,16,0,6,0
2020-08-20,Province 1,Bhojpur,16,0,6,0
2020-08-21,Province 1,Bhojpur,16,0,6,0
2020-08-22,Province 1,Bhojpur,19,0,6,0
2020-08-23,Province 1,Bhojpur,19,0,6,0
2020-08-24,Province 1,Bhojpur,19,0,6,0
2020-08-25,Province 1,Bhojpur,19,0,6,0
2020-08-26,Province 1,Bhojpur,19,0,6,0
2020-08-27,Province 1,Bhojpur,19,0,6,0
2020-08-28,Province 1,Bhojpur,19,0,6,0
2020-08-29,Province 1,Bhojpur,19,0,6,0
2020-08-30,Province 1,Bhojpur,19,0,6,0
2020-08-31,Province 1,Bhojpur,19,0,6,0
2020-09-01,Province 1,Bhojpur,19,0,6,0
2020-09-02,Province 1,Bhojpur,22,0,6,0
2020-09-03,Province 1,Bhojpur,22,0,6,0
2020-09-04,Province 1,Bhojpur,22,0,6,0
2020-09-05,Province 1,Bhojpur,22,0,6,0
2020-09-06,Province 1,Bhojpur,23,0,6,0
2020-09-07,Province 1,Bhojpur,24,0,6,0
2020-09-08,Province 1,Bhojpur,24,0,6,0
2020-09-09,Province 1,Bhojpur,29,0,6,0
2020-09-10,Province 1,Bhojpur,32,0,6,0
2020-09-11,Province 1,Bhojpur,32,0,6,0
2020-09-12,Province 1,Bhojpur,32,0,6,0
2020-09-13,Province 1,Bhojpur,32,0,6,0
2020-09-14,Province 1,Bhojpur,34,0,6,0
2020-09-15,Province 1,Bhojpur,35,0,6,0
2020-09-16,Province 1,Bhojpur,40,0,6,0
2020-09-17,Province 1,Bhojpur,40,0,6,0
2020-09-18,Province 1,Bhojpur,42,0,6,0
2020-09-19,Province 1,Bhojpur,42,0,6,0
2020-09-20,Province 1,Bhojpur,43,0,6,0
2020-09-21,Province 1,Bhojpur,43,0,6,0
2020-09-22,Province 1,Bhojpur,45,0,6,0
2020-09-23,Province 1,Bhojpur,45,0,6,0
2020-09-24,Province 1,Bhojpur,46,0,6,0
2020-09-25,Province 1,Bhojpur,46,0,6,0
2020-09-26,Province 1,Bhojpur,48,0,6,0
2020-09-27,Province 1,Bhojpur,49,0,6,0
2020-09-28,Province 1,Bhojpur,51,0,6,0
2020-09-29,Province 1,Bhojpur,52,0,6,0
2020-09-30,Province 1,Bhojpur,53,0,6,0
2020-10-01,Province 1,Bhojpur,54,0,6,0
2020-10-02,Province 1,Bhojpur,54,0,6,0
2020-10-03,Province 1,Bhojpur,54,0,6,0
2020-10-04,Province 1,Bhojpur,55,0,6,0
2020-10-05,Province 1,Bhojpur,55,0,6,0
2020-10-06,Province 1,Bhojpur,55,0,6,0
2020-10-07,Province 1,Bhojpur,57,0,6,0
2020-10-08,Province 1,Bhojpur,61,0,6,0
2020-10-09,Province 1,Bhojpur,62,0,6,0
2020-10-10,Province 1,Bhojpur,65,0,6,0
2020-10-11,Province 1,Bhojpur,65,0,6,0
2020-10-12,Province 1,Bhojpur,66,0,6,0
2020-10-13,Province 1,Bhojpur,66,0,6,0
2020-10-14,Province 1,Bhojpur,68,0,6,0
2020-10-15,Province 1,Bhojpur,70,0,6,0
2020-10-16,Province 1,Bhojpur,71,0,6,0
2020-10-17,Province 1,Bhojpur,73,0,6,0
2020-10-18,Province 1,Bhojpur,73,0,6,0
2020-10-19,Province 1,Bhojpur,67,0,6,0
2020-10-20,Province 1,Bhojpur,67,0,6,0
2020-10-21,Province 1,Bhojpur,69,0,6,0
2020-10-22,Province 1,Bhojpur,69,0,6,0
2020-10-23,Province 1,Bhojpur,69,0,6,0
2020-10-25,Province 1,Bhojpur,72,0,6,0
