Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Bagmati,Chitwan,92,1,28,0
2020-07-08,Bagmati,Chitwan,97,1,28,0
2020-07-09,Bagmati,Chitwan,107,1,28,0
2020-07-10,Bagmati,Chitwan,108,1,28,0
2020-07-11,Bagmati,Chitwan,109,1,28,0
2020-07-12,Bagmati,Chitwan,114,1,28,0
2020-07-13,Bagmati,Chitwan,114,1,28,0
2020-07-14,Bagmati,Chitwan,114,1,28,0
2020-07-15,Bagmati,Chitwan,122,1,28,0
2020-07-16,Bagmati,Chitwan,122,1,28,0
2020-07-17,Bagmati,Chitwan,122,1,28,0
2020-07-18,Bagmati,Chitwan,122,1,28,0
2020-07-19,Bagmati,Chitwan,122,1,28,0
2020-07-20,Bagmati,Chitwan,122,1,28,0
2020-07-21,Bagmati,Chitwan,127,1,28,0
2020-07-22,Bagmati,Chitwan,128,1,28,0
2020-07-23,Bagmati,Chitwan,128,1,28,0
2020-07-24,Bagmati,Chitwan,130,1,28,0
2020-07-25,Bagmati,Chitwan,131,1,28,0
2020-07-26,Bagmati,Chitwan,131,1,28,0
2020-07-27,Bagmati,Chitwan,131,1,28,0
2020-07-28,Bagmati,Chitwan,131,1,28,0
2020-07-29,Bagmati,Chitwan,131,1,28,0
2020-07-30,Bagmati,Chitwan,132,1,28,0
2020-07-31,Bagmati,Chitwan,132,1,28,0
2020-08-01,Bagmati,Chitwan,132,1,28,0
2020-08-02,Bagmati,Chitwan,133,1,28,0
2020-08-03,Bagmati,Chitwan,128,2,81,0
2020-08-04,Bagmati,Chitwan,129,2,81,0
2020-08-05,Bagmati,Chitwan,129,2,81,0
2020-08-06,Bagmati,Chitwan,130,2,81,0
2020-08-07,Bagmati,Chitwan,130,2,81,0
2020-08-08,Bagmati,Chitwan,132,2,81,0
2020-08-09,Bagmati,Chitwan,139,2,81,0
2020-08-10,Bagmati,Chitwan,140,2,81,0
2020-08-11,Bagmati,Chitwan,143,2,81,0
2020-08-12,Bagmati,Chitwan,158,2,81,0
2020-08-13,Bagmati,Chitwan,169,2,81,0
2020-08-14,Bagmati,Chitwan,183,2,81,0
2020-08-15,Bagmati,Chitwan,192,2,81,0
2020-08-16,Bagmati,Chitwan,219,2,81,0
2020-08-17,Bagmati,Chitwan,220,2,81,0
2020-08-18,Bagmati,Chitwan,269,2,81,0
2020-08-19,Bagmati,Chitwan,293,3,81,0
2020-08-20,Bagmati,Chitwan,294,3,81,0
2020-08-21,Bagmati,Chitwan,317,4,81,0
2020-08-22,Bagmati,Chitwan,344,4,81,0
2020-08-23,Bagmati,Chitwan,344,4,81,0
2020-08-24,Bagmati,Chitwan,376,4,81,0
2020-08-25,Bagmati,Chitwan,413,4,81,0
2020-08-26,Bagmati,Chitwan,455,4,81,0
2020-08-27,Bagmati,Chitwan,500,4,81,0
2020-08-28,Bagmati,Chitwan,526,5,81,0
2020-08-29,Bagmati,Chitwan,583,5,81,0
2020-08-30,Bagmati,Chitwan,673,5,81,0
2020-08-31,Bagmati,Chitwan,744,6,81,0
2020-09-01,Bagmati,Chitwan,789,7,81,0
2020-09-02,Bagmati,Chitwan,832,9,81,0
2020-09-03,Bagmati,Chitwan,888,10,81,0
2020-09-04,Bagmati,Chitwan,970,11,81,0
2020-09-05,Bagmati,Chitwan,1015,11,81,0
2020-09-06,Bagmati,Chitwan,1045,12,81,0
2020-09-07,Bagmati,Chitwan,1064,12,81,0
2020-09-08,Bagmati,Chitwan,1084,12,81,0
2020-09-09,Bagmati,Chitwan,1105,12,81,0
2020-09-10,Bagmati,Chitwan,1123,13,81,0
2020-09-11,Bagmati,Chitwan,1197,13,81,0
2020-09-12,Bagmati,Chitwan,1289,14,81,0
2020-09-13,Bagmati,Chitwan,1316,14,81,0
2020-09-14,Bagmati,Chitwan,1347,14,81,0
2020-09-15,Bagmati,Chitwan,1384,14,81,0
2020-09-16,Bagmati,Chitwan,1385,14,81,0
2020-09-17,Bagmati,Chitwan,1486,15,81,0
2020-09-18,Bagmati,Chitwan,1677,15,81,0
2020-09-19,Bagmati,Chitwan,1684,15,81,0
2020-09-20,Bagmati,Chitwan,1699,16,81,0
2020-09-21,Bagmati,Chitwan,1699,17,81,0
2020-09-22,Bagmati,Chitwan,1721,17,81,0
2020-09-23,Bagmati,Chitwan,1722,17,81,0
2020-09-24,Bagmati,Chitwan,1859,17,81,0
2020-09-25,Bagmati,Chitwan,1926,17,81,0
2020-09-26,Bagmati,Chitwan,1938,17,81,0
2020-09-27,Bagmati,Chitwan,2021,17,81,0
2020-09-28,Bagmati,Chitwan,2038,17,81,0
2020-09-29,Bagmati,Chitwan,2100,18,81,0
2020-09-30,Bagmati,Chitwan,2162,18,81,0
2020-10-01,Bagmati,Chitwan,2248,18,81,0
2020-10-02,Bagmati,Chitwan,2331,18,81,0
2020-10-03,Bagmati,Chitwan,2406,19,81,0
2020-10-04,Bagmati,Chitwan,2458,20,81,0
2020-10-05,Bagmati,Chitwan,2561,21,81,0
2020-10-06,Bagmati,Chitwan,2642,22,81,0
2020-10-07,Bagmati,Chitwan,2773,23,81,0
2020-10-08,Bagmati,Chitwan,2842,26,81,0
2020-10-09,Bagmati,Chitwan,2893,26,81,0
2020-10-10,Bagmati,Chitwan,3040,26,81,0
2020-10-11,Bagmati,Chitwan,3043,30,81,0
2020-10-12,Bagmati,Chitwan,3120,31,81,0
2020-10-13,Bagmati,Chitwan,3168,33,81,0
2020-10-14,Bagmati,Chitwan,3218,33,81,0
2020-10-15,Bagmati,Chitwan,3280,33,81,0
2020-10-16,Bagmati,Chitwan,3408,33,81,0
2020-10-17,Bagmati,Chitwan,3409,34,81,0
2020-10-18,Bagmati,Chitwan,3558,35,81,0
2020-10-19,Bagmati,Chitwan,3648,36,81,0
2020-10-20,Bagmati,Chitwan,3728,36,81,0
2020-10-21,Bagmati,Chitwan,3875,36,81,0
2020-10-22,Bagmati,Chitwan,3958,38,81,0
2020-10-23,Bagmati,Chitwan,4107,40,81,0
2020-10-25,Bagmati,Chitwan,4290,40,81,0
2020-10-26,Bagmati,Chitwan,4314,41,81,0
2020-10-27,Bagmati,Chitwan,4315,43,81,0
2020-10-28,Bagmati,Chitwan,4478,43,81,0
2020-10-29,Bagmati,Chitwan,4575,44,81,0
2020-10-30,Bagmati,Chitwan,4698,45,81,0
2020-10-31,Bagmati,Chitwan,4807,45,81,0
2020-11-01,Bagmati,Chitwan,4842,46,81,0
2020-11-02,Bagmati,Chitwan,5010,48,81,0
2020-11-03,Bagmati,Chitwan,5205,49,81,0
2020-11-04,Bagmati,Chitwan,5293,50,81,0
2020-11-05,Bagmati,Chitwan,5392,50,81,0
2020-11-06,Bagmati,Chitwan,5518,50,81,0
2020-11-07,Bagmati,Chitwan,5518,50,81,0
2020-11-08,Bagmati,Chitwan,5680,50,81,0
2020-11-09,Bagmati,Chitwan,5708,51,81,0
2020-11-10,Bagmati,Chitwan,5876,52,81,0
2020-11-11,Bagmati,Chitwan,5891,52,81,0
2020-11-12,Bagmati,Chitwan,5891,52,81,0
