Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Sudurpashchim,Dadeldhura,281,0,8,0
2020-07-08,Sudurpashchim,Dadeldhura,283,0,8,0
2020-07-09,Sudurpashchim,Dadeldhura,283,0,8,0
2020-07-10,Sudurpashchim,Dadeldhura,283,0,8,0
2020-07-11,Sudurpashchim,Dadeldhura,283,0,8,0
2020-07-12,Sudurpashchim,Dadeldhura,285,0,8,0
2020-07-13,Sudurpashchim,Dadeldhura,285,0,8,0
2020-07-14,Sudurpashchim,Dadeldhura,285,0,8,0
2020-07-15,Sudurpashchim,Dadeldhura,287,0,8,0
2020-07-16,Sudurpashchim,Dadeldhura,295,0,8,0
2020-07-17,Sudurpashchim,Dadeldhura,296,0,8,0
2020-07-18,Sudurpashchim,Dadeldhura,298,0,8,0
2020-07-19,Sudurpashchim,Dadeldhura,300,0,8,0
2020-07-20,Sudurpashchim,Dadeldhura,300,0,8,0
2020-07-21,Sudurpashchim,Dadeldhura,300,0,8,0
2020-07-22,Sudurpashchim,Dadeldhura,300,0,8,0
