Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Province 5,Dang Deukhuri,629,1,89,0
2020-07-08,Province 5,Dang Deukhuri,634,1,89,0
2020-07-09,Province 5,Dang Deukhuri,641,1,89,0
2020-07-10,Province 5,Dang Deukhuri,641,1,89,0
2020-07-11,Province 5,Dang Deukhuri,646,1,89,0
2020-07-12,Province 5,Dang Deukhuri,646,1,89,0
2020-07-13,Province 5,Dang Deukhuri,648,1,89,0
2020-07-14,Province 5,Dang Deukhuri,653,1,89,0
2020-07-15,Province 5,Dang Deukhuri,653,1,89,0
2020-07-16,Province 5,Dang Deukhuri,654,1,89,0
2020-07-17,Province 5,Dang Deukhuri,659,1,89,0
2020-07-18,Province 5,Dang Deukhuri,659,1,89,0
2020-07-19,Province 5,Dang Deukhuri,664,1,89,0
2020-07-20,Province 5,Dang Deukhuri,670,1,89,0
2020-07-21,Province 5,Dang Deukhuri,673,1,89,0
2020-07-22,Province 5,Dang Deukhuri,673,1,89,0
2020-07-23,Province 5,Dang Deukhuri,673,1,89,0
2020-07-24,Province 5,Dang Deukhuri,677,1,89,0
2020-07-25,Province 5,Dang Deukhuri,682,1,89,0
2020-07-26,Province 5,Dang Deukhuri,683,1,89,0
2020-07-27,Province 5,Dang Deukhuri,683,1,89,0
2020-07-28,Province 5,Dang Deukhuri,689,1,89,0
2020-07-29,Province 5,Dang Deukhuri,689,1,89,0
2020-07-30,Province 5,Dang Deukhuri,692,1,89,0
2020-07-31,Province 5,Dang Deukhuri,695,1,89,0
