Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Province 2,Dhanusa,490,0,237,0
2020-07-08,Province 2,Dhanusa,490,0,237,0
2020-07-09,Province 2,Dhanusa,492,0,237,0
2020-07-10,Province 2,Dhanusa,496,0,237,0
2020-07-11,Province 2,Dhanusa,496,0,237,0
2020-07-12,Province 2,Dhanusa,515,0,237,0
2020-07-13,Province 2,Dhanusa,542,0,237,0
2020-07-14,Province 2,Dhanusa,563,0,237,0
2020-07-15,Province 2,Dhanusa,569,0,237,0
2020-07-16,Province 2,Dhanusa,596,0,237,0
2020-07-17,Province 2,Dhanusa,604,0,237,0
2020-07-18,Province 2,Dhanusa,604,0,237,0
2020-07-19,Province 2,Dhanusa,604,0,237,0
