Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Sudurpashchim,Doti,563,0,10,0
2020-07-08,Sudurpashchim,Doti,575,0,10,0
2020-07-09,Sudurpashchim,Doti,577,0,10,0
2020-07-10,Sudurpashchim,Doti,578,0,10,0
2020-07-11,Sudurpashchim,Doti,578,0,10,0
2020-07-12,Sudurpashchim,Doti,578,0,10,0
2020-07-13,Sudurpashchim,Doti,578,0,10,0
2020-07-14,Sudurpashchim,Doti,578,0,10,0
2020-07-15,Sudurpashchim,Doti,578,0,10,0
2020-07-16,Sudurpashchim,Doti,578,0,10,0
2020-07-17,Sudurpashchim,Doti,579,0,10,0
2020-07-18,Sudurpashchim,Doti,586,0,10,0
2020-07-19,Sudurpashchim,Doti,586,0,10,0
2020-07-20,Sudurpashchim,Doti,626,0,10,0
2020-07-21,Sudurpashchim,Doti,630,0,10,0
