Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Gandaki,Gorkha,109,1,10,0
2020-07-08,Gandaki,Gorkha,111,1,10,0
2020-07-09,Gandaki,Gorkha,113,1,10,0
2020-07-10,Gandaki,Gorkha,114,1,10,0
2020-07-11,Gandaki,Gorkha,114,1,10,0
2020-07-12,Gandaki,Gorkha,115,1,10,0
2020-07-13,Gandaki,Gorkha,115,1,10,0
2020-07-14,Gandaki,Gorkha,117,1,10,0
2020-07-15,Gandaki,Gorkha,118,1,10,0
2020-07-16,Gandaki,Gorkha,118,1,10,0
2020-07-17,Gandaki,Gorkha,118,1,10,0
2020-07-18,Gandaki,Gorkha,118,1,10,0
2020-07-19,Gandaki,Gorkha,118,1,10,0
2020-07-20,Gandaki,Gorkha,118,1,10,0
2020-07-21,Gandaki,Gorkha,121,1,10,0
2020-07-22,Gandaki,Gorkha,121,1,10,0
2020-07-23,Gandaki,Gorkha,121,1,10,0
