Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Province 5,Gulmi,347,3,21,0
2020-07-08,Province 5,Gulmi,350,3,21,0
2020-07-09,Province 5,Gulmi,350,3,21,0
2020-07-10,Province 5,Gulmi,356,3,21,0
2020-07-11,Province 5,Gulmi,356,3,21,0
2020-07-12,Province 5,Gulmi,357,3,21,0
2020-07-13,Province 5,Gulmi,357,3,21,0
2020-07-14,Province 5,Gulmi,357,3,21,0
2020-07-15,Province 5,Gulmi,357,3,21,0
2020-07-16,Province 5,Gulmi,357,3,21,0
2020-07-17,Province 5,Gulmi,357,3,21,0
2020-07-18,Province 5,Gulmi,359,3,21,0
2020-07-19,Province 5,Gulmi,359,3,21,0
2020-07-20,Province 5,Gulmi,359,3,21,0
2020-07-21,Province 5,Gulmi,359,3,21,0
2020-07-22,Province 5,Gulmi,359,3,21,0
2020-07-23,Province 5,Gulmi,362,3,21,0
2020-07-24,Province 5,Gulmi,362,3,21,0
2020-07-25,Province 5,Gulmi,365,3,21,0
2020-07-26,Province 5,Gulmi,366,3,21,0
2020-07-27,Province 5,Gulmi,366,3,21,0
2020-07-28,Province 5,Gulmi,366,3,21,0
2020-07-29,Province 5,Gulmi,366,3,21,0
2020-07-30,Province 5,Gulmi,366,3,21,0
2020-07-31,Province 5,Gulmi,368,3,21,0
2020-08-01,Province 5,Gulmi,368,3,21,0
2020-08-02,Province 5,Gulmi,368,3,21,0
2020-08-03,Province 5,Gulmi,372,3,350,0
2020-08-04,Province 5,Gulmi,377,3,350,0
2020-08-05,Province 5,Gulmi,377,3,350,0
2020-08-06,Province 5,Gulmi,378,3,350,0
2020-08-07,Province 5,Gulmi,379,3,350,0
2020-08-08,Province 5,Gulmi,379,3,350,0
2020-08-09,Province 5,Gulmi,379,3,350,0
2020-08-10,Province 5,Gulmi,379,3,350,0
2020-08-11,Province 5,Gulmi,379,3,350,0
2020-08-12,Province 5,Gulmi,379,3,350,0
2020-08-13,Province 5,Gulmi,379,3,350,0
2020-08-14,Province 5,Gulmi,379,3,350,0
2020-08-15,Province 5,Gulmi,380,3,350,0
2020-08-16,Province 5,Gulmi,380,3,350,0
2020-08-17,Province 5,Gulmi,380,3,350,0
2020-08-18,Province 5,Gulmi,380,3,350,0
2020-08-19,Province 5,Gulmi,380,3,350,0
2020-08-20,Province 5,Gulmi,386,3,350,0
2020-08-21,Province 5,Gulmi,387,3,350,0
2020-08-22,Province 5,Gulmi,387,3,350,0
2020-08-23,Province 5,Gulmi,387,3,350,0
2020-08-24,Province 5,Gulmi,391,3,350,0
2020-08-25,Province 5,Gulmi,393,3,350,0
2020-08-26,Province 5,Gulmi,393,3,350,0
2020-08-27,Province 5,Gulmi,396,3,350,0
2020-08-28,Province 5,Gulmi,396,3,350,0
2020-08-29,Province 5,Gulmi,397,3,350,0
2020-08-30,Province 5,Gulmi,403,3,350,0
2020-08-31,Province 5,Gulmi,403,3,350,0
2020-09-01,Province 5,Gulmi,416,3,350,0
2020-09-02,Province 5,Gulmi,416,3,350,0
2020-09-03,Province 5,Gulmi,426,3,350,0
2020-09-04,Province 5,Gulmi,428,3,350,0
