Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Karnali,Humla,2,0,1,0
2020-07-08,Karnali,Humla,2,0,1,0
2020-07-09,Karnali,Humla,2,0,1,0
2020-07-10,Karnali,Humla,2,0,1,0
2020-07-11,Karnali,Humla,2,0,1,0
2020-07-12,Karnali,Humla,2,0,1,0
2020-07-13,Karnali,Humla,2,0,1,0
2020-07-14,Karnali,Humla,2,0,1,0
2020-07-15,Karnali,Humla,2,0,1,0
2020-07-16,Karnali,Humla,2,0,2,0
2020-07-17,Karnali,Humla,2,0,2,0
2020-07-18,Karnali,Humla,2,0,2,0
2020-07-19,Karnali,Humla,2,0,2,0
2020-07-20,Karnali,Humla,3,0,2,0
2020-07-21,Karnali,Humla,3,0,2,0
2020-07-22,Karnali,Humla,3,0,2,0
2020-07-23,Karnali,Humla,3,0,2,0
2020-07-24,Karnali,Humla,3,0,2,0
2020-07-25,Karnali,Humla,4,0,2,0
2020-07-26,Karnali,Humla,4,0,2,0
