Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Karnali,Jumla,40,0,25,0
2020-07-08,Karnali,Jumla,40,0,25,0
2020-07-09,Karnali,Jumla,40,0,25,0
2020-07-10,Karnali,Jumla,40,0,25,0
2020-07-11,Karnali,Jumla,42,0,25,0
2020-07-12,Karnali,Jumla,42,0,25,0
2020-07-13,Karnali,Jumla,42,0,25,0
2020-07-14,Karnali,Jumla,46,0,25,0
2020-07-15,Karnali,Jumla,48,0,25,0
2020-07-16,Karnali,Jumla,48,0,25,0
2020-07-17,Karnali,Jumla,48,0,25,0
2020-07-18,Karnali,Jumla,48,0,25,0
2020-07-19,Karnali,Jumla,48,0,25,0
2020-07-20,Karnali,Jumla,48,0,25,0
2020-07-21,Karnali,Jumla,48,0,25,0
2020-07-22,Karnali,Jumla,48,0,25,0
