Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Gandaki,Kaski,67,0,20,0
2020-07-08,Gandaki,Kaski,81,0,20,0
2020-07-09,Gandaki,Kaski,85,0,20,0
2020-07-10,Gandaki,Kaski,85,0,20,0
2020-07-11,Gandaki,Kaski,87,0,20,0
2020-07-12,Gandaki,Kaski,87,0,20,0
2020-07-13,Gandaki,Kaski,87,0,20,0
2020-07-14,Gandaki,Kaski,87,0,20,0
2020-07-15,Gandaki,Kaski,90,0,20,0
2020-07-16,Gandaki,Kaski,90,0,20,0
2020-07-17,Gandaki,Kaski,90,0,20,0
2020-07-18,Gandaki,Kaski,90,0,20,0
2020-07-19,Gandaki,Kaski,96,0,20,0
2020-07-20,Gandaki,Kaski,104,0,20,0
2020-07-21,Gandaki,Kaski,104,0,20,0
2020-07-22,Gandaki,Kaski,104,1,20,0
2020-07-23,Gandaki,Kaski,106,1,20,0
2020-07-24,Gandaki,Kaski,111,1,20,0
