Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Bagmati,Kathmandu,174,1,29,2
2020-07-08,Bagmati,Kathmandu,190,1,29,2
2020-07-09,Bagmati,Kathmandu,192,1,29,2
2020-07-10,Bagmati,Kathmandu,220,1,29,2
2020-07-11,Bagmati,Kathmandu,223,3,29,2
2020-07-12,Bagmati,Kathmandu,228,3,29,2
2020-07-13,Bagmati,Kathmandu,231,3,29,2
2020-07-14,Bagmati,Kathmandu,233,3,29,2
2020-07-15,Bagmati,Kathmandu,240,3,29,2
2020-07-16,Bagmati,Kathmandu,241,3,29,2
2020-07-17,Bagmati,Kathmandu,242,3,29,2
2020-07-18,Bagmati,Kathmandu,242,3,29,2
2020-07-19,Bagmati,Kathmandu,243,3,29,2
2020-07-20,Bagmati,Kathmandu,245,3,29,2
2020-07-21,Bagmati,Kathmandu,253,3,29,2
2020-07-22,Bagmati,Kathmandu,252,3,29,2
2020-07-23,Bagmati,Kathmandu,255,3,29,2
2020-07-24,Bagmati,Kathmandu,267,3,29,2
2020-07-25,Bagmati,Kathmandu,269,3,29,2
2020-07-26,Bagmati,Kathmandu,274,3,29,2
2020-07-27,Bagmati,Kathmandu,277,3,29,2
2020-07-28,Bagmati,Kathmandu,325,3,29,2
2020-07-29,Bagmati,Kathmandu,342,3,29,2
2020-07-30,Bagmati,Kathmandu,383,3,29,2
2020-07-31,Bagmati,Kathmandu,415,3,29,2
2020-08-01,Bagmati,Kathmandu,420,3,29,2
2020-08-02,Bagmati,Kathmandu,442,3,29,2
2020-08-03,Bagmati,Kathmandu,492,4,110,0
2020-08-04,Bagmati,Kathmandu,540,4,110,0
2020-08-05,Bagmati,Kathmandu,597,4,110,0
2020-08-06,Bagmati,Kathmandu,673,4,110,0
2020-08-07,Bagmati,Kathmandu,765,4,110,0
2020-08-08,Bagmati,Kathmandu,821,5,110,0
2020-08-09,Bagmati,Kathmandu,911,5,110,0
2020-08-10,Bagmati,Kathmandu,935,7,110,0
2020-08-11,Bagmati,Kathmandu,1057,7,110,0
2020-08-12,Bagmati,Kathmandu,1166,8,110,0
2020-08-13,Bagmati,Kathmandu,1277,8,110,0
2020-08-14,Bagmati,Kathmandu,1360,8,110,0
2020-08-15,Bagmati,Kathmandu,1440,8,110,0
2020-08-16,Bagmati,Kathmandu,1566,8,110,0
2020-08-17,Bagmati,Kathmandu,1705,9,110,0
2020-08-18,Bagmati,Kathmandu,1843,9,110,0
2020-08-19,Bagmati,Kathmandu,1977,10,110,0
2020-08-20,Bagmati,Kathmandu,2151,11,110,0
2020-08-21,Bagmati,Kathmandu,2293,12,110,0
2020-08-22,Bagmati,Kathmandu,2453,12,110,0
2020-08-23,Bagmati,Kathmandu,2579,12,110,0
2020-08-24,Bagmati,Kathmandu,2756,13,110,0
2020-08-25,Bagmati,Kathmandu,2955,16,110,0
2020-08-26,Bagmati,Kathmandu,3185,17,110,0
2020-08-27,Bagmati,Kathmandu,3455,18,110,0
2020-08-28,Bagmati,Kathmandu,3805,18,110,0
2020-08-29,Bagmati,Kathmandu,3960,20,110,0
2020-08-30,Bagmati,Kathmandu,4332,21,110,0
2020-08-31,Bagmati,Kathmandu,4522,21,110,0
2020-09-01,Bagmati,Kathmandu,4915,23,110,0
2020-09-02,Bagmati,Kathmandu,5265,26,110,0
2020-09-03,Bagmati,Kathmandu,5622,26,110,0
2020-09-04,Bagmati,Kathmandu,6008,29,110,0
2020-09-05,Bagmati,Kathmandu,6334,32,110,0
2020-09-06,Bagmati,Kathmandu,6624,35,110,0
2020-09-07,Bagmati,Kathmandu,6917,38,110,0
2020-09-08,Bagmati,Kathmandu,7217,40,110,0
2020-09-09,Bagmati,Kathmandu,7611,42,110,0
2020-09-10,Bagmati,Kathmandu,8106,45,110,0
