Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Gandaki,Lamjung,63,0,1,0
2020-07-08,Gandaki,Lamjung,64,0,1,0
2020-07-09,Gandaki,Lamjung,69,0,1,0
2020-07-10,Gandaki,Lamjung,69,0,1,0
2020-07-11,Gandaki,Lamjung,69,0,1,0
2020-07-12,Gandaki,Lamjung,71,0,1,0
2020-07-13,Gandaki,Lamjung,71,0,1,0
2020-07-14,Gandaki,Lamjung,71,0,1,0
2020-07-15,Gandaki,Lamjung,71,0,1,0
2020-07-16,Gandaki,Lamjung,71,0,1,0
2020-07-17,Gandaki,Lamjung,93,0,1,0
2020-07-18,Gandaki,Lamjung,93,0,1,0
2020-07-19,Gandaki,Lamjung,99,0,1,0
2020-07-20,Gandaki,Lamjung,100,0,1,0
2020-07-21,Gandaki,Lamjung,100,0,1,0
2020-07-22,Gandaki,Lamjung,107,0,1,0
2020-07-23,Gandaki,Lamjung,107,0,1,0
2020-07-24,Gandaki,Lamjung,110,0,1,0
2020-07-25,Gandaki,Lamjung,110,0,1,0
2020-07-26,Gandaki,Lamjung,110,0,1,0
2020-07-27,Gandaki,Lamjung,110,0,1,0
2020-07-28,Gandaki,Lamjung,112,0,1,0
2020-07-29,Gandaki,Lamjung,112,0,1,0
2020-07-30,Gandaki,Lamjung,115,0,1,0
2020-07-31,Gandaki,Lamjung,115,0,1,0
2020-08-01,Gandaki,Lamjung,115,0,1,0
2020-08-02,Gandaki,Lamjung,118,0,1,0
2020-08-03,Gandaki,Lamjung,118,0,93,0
2020-08-04,Gandaki,Lamjung,119,0,93,0
2020-08-05,Gandaki,Lamjung,119,0,93,0
2020-08-06,Gandaki,Lamjung,119,0,93,0
2020-08-07,Gandaki,Lamjung,119,0,93,0
2020-08-08,Gandaki,Lamjung,119,0,93,0
2020-08-09,Gandaki,Lamjung,119,0,93,0
2020-08-10,Gandaki,Lamjung,119,0,93,0
2020-08-11,Gandaki,Lamjung,119,0,93,0
