Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Province 2,Mahottari,755,0,83,0
2020-07-08,Province 2,Mahottari,755,0,83,0
2020-07-09,Province 2,Mahottari,755,0,83,0
2020-07-10,Province 2,Mahottari,759,0,83,0
2020-07-11,Province 2,Mahottari,759,0,83,0
2020-07-12,Province 2,Mahottari,759,0,83,0
2020-07-13,Province 2,Mahottari,763,0,83,0
2020-07-14,Province 2,Mahottari,782,0,83,0
2020-07-15,Province 2,Mahottari,782,0,83,0
2020-07-16,Province 2,Mahottari,782,0,83,0
2020-07-17,Province 2,Mahottari,782,0,83,0
2020-07-18,Province 2,Mahottari,782,0,83,0
2020-07-19,Province 2,Mahottari,782,0,83,0
2020-07-20,Province 2,Mahottari,782,0,83,0
2020-07-21,Province 2,Mahottari,796,0,83,0
2020-07-22,Province 2,Mahottari,796,0,83,0
2020-07-23,Province 2,Mahottari,797,0,83,0
2020-07-24,Province 2,Mahottari,797,0,83,0
2020-07-25,Province 2,Mahottari,797,0,83,0
2020-07-26,Province 2,Mahottari,799,0,83,0
2020-07-27,Province 2,Mahottari,809,0,83,0
2020-07-28,Province 2,Mahottari,817,0,83,0
2020-07-29,Province 2,Mahottari,831,0,83,0
2020-07-30,Province 2,Mahottari,837,0,83,0
2020-07-31,Province 2,Mahottari,837,0,83,0
2020-08-01,Province 2,Mahottari,837,0,83,0
2020-08-02,Province 2,Mahottari,842,0,83,0
2020-08-03,Province 2,Mahottari,873,0,344,0
2020-08-04,Province 2,Mahottari,888,0,344,0
2020-08-05,Province 2,Mahottari,905,0,344,0
2020-08-06,Province 2,Mahottari,908,0,344,0
2020-08-07,Province 2,Mahottari,908,0,344,0
2020-08-08,Province 2,Mahottari,911,0,344,0
2020-08-09,Province 2,Mahottari,926,0,344,0
2020-08-10,Province 2,Mahottari,929,0,344,0
2020-08-11,Province 2,Mahottari,941,0,344,0
2020-08-12,Province 2,Mahottari,985,0,344,0
2020-08-13,Province 2,Mahottari,1005,1,344,0
2020-08-14,Province 2,Mahottari,1027,1,344,0
2020-08-15,Province 2,Mahottari,1036,1,344,0
2020-08-16,Province 2,Mahottari,1044,1,344,0
2020-08-17,Province 2,Mahottari,1046,1,344,0
2020-08-18,Province 2,Mahottari,1070,1,344,0
2020-08-19,Province 2,Mahottari,1082,1,344,0
2020-08-20,Province 2,Mahottari,1097,1,344,0
2020-08-21,Province 2,Mahottari,1097,1,344,0
2020-08-22,Province 2,Mahottari,1098,1,344,0
2020-08-23,Province 2,Mahottari,1132,1,344,0
2020-08-24,Province 2,Mahottari,1132,1,344,0
2020-08-25,Province 2,Mahottari,1149,1,344,0
2020-08-26,Province 2,Mahottari,1167,4,344,0
2020-08-27,Province 2,Mahottari,1174,4,344,0
2020-08-28,Province 2,Mahottari,1187,4,344,0
2020-08-29,Province 2,Mahottari,1213,4,344,0
2020-08-30,Province 2,Mahottari,1250,7,344,0
2020-08-31,Province 2,Mahottari,1256,8,344,0
2020-09-01,Province 2,Mahottari,1258,10,344,0
2020-09-02,Province 2,Mahottari,1289,10,344,0
2020-09-03,Province 2,Mahottari,1309,10,344,0
2020-09-04,Province 2,Mahottari,1355,10,344,0
2020-09-05,Province 2,Mahottari,1381,11,344,0
2020-09-06,Province 2,Mahottari,1384,11,344,0
2020-09-07,Province 2,Mahottari,1387,11,344,0
2020-09-08,Province 2,Mahottari,1391,11,344,0
2020-09-09,Province 2,Mahottari,1393,11,344,0
2020-09-10,Province 2,Mahottari,1393,11,344,0
2020-09-11,Province 2,Mahottari,1395,12,344,0
2020-09-12,Province 2,Mahottari,1403,12,344,0
2020-09-13,Province 2,Mahottari,1406,12,344,0
2020-09-14,Province 2,Mahottari,1407,12,344,0
2020-09-15,Province 2,Mahottari,1416,12,344,0
2020-09-16,Province 2,Mahottari,1417,12,344,0
2020-09-17,Province 2,Mahottari,1421,12,344,0
2020-09-18,Province 2,Mahottari,1421,12,344,0
2020-09-19,Province 2,Mahottari,1422,12,344,0
2020-09-20,Province 2,Mahottari,1422,12,344,0
2020-09-21,Province 2,Mahottari,1436,12,344,0
2020-09-22,Province 2,Mahottari,1436,12,344,0
2020-09-23,Province 2,Mahottari,1437,12,344,0
2020-09-24,Province 2,Mahottari,1441,12,344,0
2020-09-25,Province 2,Mahottari,1496,12,344,0
2020-09-26,Province 2,Mahottari,1497,12,344,0
2020-09-27,Province 2,Mahottari,1500,12,344,0
2020-09-28,Province 2,Mahottari,1525,12,344,0
2020-09-29,Province 2,Mahottari,1527,13,344,0
2020-09-30,Province 2,Mahottari,1538,13,344,0
2020-10-01,Province 2,Mahottari,1554,13,344,0
2020-10-02,Province 2,Mahottari,1560,13,344,0
2020-10-03,Province 2,Mahottari,1565,13,344,0
2020-10-04,Province 2,Mahottari,1566,13,344,0
2020-10-05,Province 2,Mahottari,1568,13,344,0
2020-10-06,Province 2,Mahottari,1583,13,344,0
2020-10-07,Province 2,Mahottari,1588,13,344,0
2020-10-08,Province 2,Mahottari,1595,13,344,0
2020-10-09,Province 2,Mahottari,1612,13,344,0
2020-10-10,Province 2,Mahottari,1623,13,344,0
2020-10-11,Province 2,Mahottari,1636,13,344,0
2020-10-12,Province 2,Mahottari,1644,13,344,0
2020-10-13,Province 2,Mahottari,1651,14,344,0
2020-10-14,Province 2,Mahottari,1698,14,344,0
2020-10-15,Province 2,Mahottari,1701,14,344,0
2020-10-16,Province 2,Mahottari,1710,14,344,0
2020-10-17,Province 2,Mahottari,1716,14,344,0
2020-10-18,Province 2,Mahottari,1717,14,344,0
2020-10-19,Province 2,Mahottari,1744,15,344,0
2020-10-20,Province 2,Mahottari,1748,15,344,0
2020-10-21,Province 2,Mahottari,1754,16,344,0
2020-10-22,Province 2,Mahottari,1758,16,344,0
2020-10-23,Province 2,Mahottari,1765,16,344,0
2020-10-25,Province 2,Mahottari,1778,17,344,0
