Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Bagmati,Makwanpur,27,0,11,0
2020-07-08,Bagmati,Makwanpur,27,0,11,0
2020-07-09,Bagmati,Makwanpur,28,0,11,0
2020-07-10,Bagmati,Makwanpur,29,0,11,0
2020-07-11,Bagmati,Makwanpur,29,0,11,0
2020-07-12,Bagmati,Makwanpur,30,0,11,0
2020-07-13,Bagmati,Makwanpur,31,0,11,0
2020-07-14,Bagmati,Makwanpur,31,0,11,0
2020-07-15,Bagmati,Makwanpur,31,0,11,0
2020-07-16,Bagmati,Makwanpur,34,0,11,0
2020-07-17,Bagmati,Makwanpur,35,0,11,0
2020-07-18,Bagmati,Makwanpur,35,0,11,0
2020-07-19,Bagmati,Makwanpur,36,0,11,0
2020-07-20,Bagmati,Makwanpur,36,0,11,0
2020-07-21,Bagmati,Makwanpur,41,0,11,0
2020-07-22,Bagmati,Makwanpur,41,0,11,0
2020-07-23,Bagmati,Makwanpur,41,0,11,0
2020-07-24,Bagmati,Makwanpur,41,0,11,0
2020-07-25,Bagmati,Makwanpur,42,0,11,0
2020-07-26,Bagmati,Makwanpur,43,0,11,0
2020-07-27,Bagmati,Makwanpur,43,0,11,0
2020-07-28,Bagmati,Makwanpur,44,0,11,0
2020-07-29,Bagmati,Makwanpur,44,0,11,0
2020-07-30,Bagmati,Makwanpur,44,0,11,0
2020-07-31,Bagmati,Makwanpur,45,0,11,0
2020-08-01,Bagmati,Makwanpur,45,0,11,0
2020-08-02,Bagmati,Makwanpur,45,0,11,0
2020-08-03,Bagmati,Makwanpur,45,0,21,0
2020-08-04,Bagmati,Makwanpur,45,0,21,0
2020-08-05,Bagmati,Makwanpur,49,0,21,0
2020-08-06,Bagmati,Makwanpur,53,0,21,0
2020-08-07,Bagmati,Makwanpur,53,0,21,0
2020-08-08,Bagmati,Makwanpur,59,0,21,0
2020-08-09,Bagmati,Makwanpur,59,0,21,0
2020-08-10,Bagmati,Makwanpur,82,0,21,0
2020-08-11,Bagmati,Makwanpur,83,0,21,0
2020-08-12,Bagmati,Makwanpur,97,0,21,0
2020-08-13,Bagmati,Makwanpur,125,0,21,0
2020-08-14,Bagmati,Makwanpur,147,0,21,0
2020-08-15,Bagmati,Makwanpur,168,0,21,0
2020-08-16,Bagmati,Makwanpur,169,0,21,0
2020-08-17,Bagmati,Makwanpur,173,0,21,0
2020-08-18,Bagmati,Makwanpur,203,0,21,0
2020-08-19,Bagmati,Makwanpur,203,0,21,0
2020-08-20,Bagmati,Makwanpur,228,1,21,0
2020-08-21,Bagmati,Makwanpur,260,2,21,0
2020-08-22,Bagmati,Makwanpur,292,3,21,0
2020-08-23,Bagmati,Makwanpur,293,3,21,0
2020-08-24,Bagmati,Makwanpur,311,3,21,0
2020-08-25,Bagmati,Makwanpur,313,3,21,0
2020-08-26,Bagmati,Makwanpur,331,3,21,0
2020-08-27,Bagmati,Makwanpur,394,3,21,0
2020-08-28,Bagmati,Makwanpur,445,4,21,0
2020-08-29,Bagmati,Makwanpur,454,4,21,0
2020-08-30,Bagmati,Makwanpur,463,4,21,0
2020-08-31,Bagmati,Makwanpur,505,4,21,0
2020-09-01,Bagmati,Makwanpur,511,5,21,0
2020-09-02,Bagmati,Makwanpur,544,5,21,0
2020-09-03,Bagmati,Makwanpur,566,5,21,0
2020-09-04,Bagmati,Makwanpur,584,5,21,0
2020-09-05,Bagmati,Makwanpur,619,6,21,0
2020-09-06,Bagmati,Makwanpur,619,6,21,0
2020-09-07,Bagmati,Makwanpur,692,7,21,0
2020-09-08,Bagmati,Makwanpur,716,7,21,0
2020-09-09,Bagmati,Makwanpur,758,7,21,0
2020-09-10,Bagmati,Makwanpur,793,7,21,0
2020-09-11,Bagmati,Makwanpur,847,7,21,0
2020-09-12,Bagmati,Makwanpur,954,7,21,0
2020-09-13,Bagmati,Makwanpur,954,7,21,0
2020-09-14,Bagmati,Makwanpur,968,7,21,0
2020-09-15,Bagmati,Makwanpur,1055,8,21,0
2020-09-16,Bagmati,Makwanpur,1104,8,21,0
2020-09-17,Bagmati,Makwanpur,1167,8,21,0
2020-09-18,Bagmati,Makwanpur,1197,8,21,0
2020-09-19,Bagmati,Makwanpur,1215,9,21,0
2020-09-20,Bagmati,Makwanpur,1239,9,21,0
2020-09-21,Bagmati,Makwanpur,1242,11,21,0
2020-09-22,Bagmati,Makwanpur,1250,11,21,0
2020-09-23,Bagmati,Makwanpur,1266,11,21,0
2020-09-24,Bagmati,Makwanpur,1287,11,21,0
2020-09-25,Bagmati,Makwanpur,1296,11,21,0
2020-09-26,Bagmati,Makwanpur,1313,12,21,0
2020-09-27,Bagmati,Makwanpur,1314,12,21,0
2020-09-28,Bagmati,Makwanpur,1354,12,21,0
2020-09-29,Bagmati,Makwanpur,1360,12,21,0
2020-09-30,Bagmati,Makwanpur,1398,12,21,0
2020-10-01,Bagmati,Makwanpur,1415,12,21,0
2020-10-02,Bagmati,Makwanpur,1470,13,21,0
2020-10-03,Bagmati,Makwanpur,1482,13,21,0
