Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Gandaki,Nawalpur,283,0,10,0
2020-07-08,Gandaki,Nawalpur,286,0,10,0
2020-07-09,Gandaki,Nawalpur,287,0,10,0
2020-07-10,Gandaki,Nawalpur,289,0,10,0
2020-07-11,Gandaki,Nawalpur,289,0,10,0
2020-07-12,Gandaki,Nawalpur,290,0,10,0
2020-07-13,Gandaki,Nawalpur,290,0,10,0
2020-07-14,Gandaki,Nawalpur,292,0,10,0
2020-07-15,Gandaki,Nawalpur,303,0,10,0
2020-07-16,Gandaki,Nawalpur,320,0,10,0
2020-07-17,Gandaki,Nawalpur,323,0,10,0
2020-07-18,Gandaki,Nawalpur,323,0,10,0
2020-07-19,Gandaki,Nawalpur,333,0,10,0
