Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Gandaki,Parbat,91,0,9,0
2020-07-08,Gandaki,Parbat,91,0,9,0
2020-07-09,Gandaki,Parbat,91,0,9,0
2020-07-10,Gandaki,Parbat,91,0,9,0
2020-07-11,Gandaki,Parbat,92,0,9,0
2020-07-12,Gandaki,Parbat,94,0,9,0
2020-07-13,Gandaki,Parbat,95,0,9,0
2020-07-14,Gandaki,Parbat,95,0,9,0
2020-07-15,Gandaki,Parbat,95,0,9,0
2020-07-16,Gandaki,Parbat,95,0,9,0
2020-07-17,Gandaki,Parbat,95,0,9,0
2020-07-18,Gandaki,Parbat,96,0,9,0
2020-07-19,Gandaki,Parbat,97,0,9,0
2020-07-20,Gandaki,Parbat,97,0,9,0
2020-07-21,Gandaki,Parbat,97,0,9,0
2020-07-22,Gandaki,Parbat,97,0,9,0
2020-07-23,Gandaki,Parbat,100,0,9,0
2020-07-24,Gandaki,Parbat,100,0,9,0
2020-07-25,Gandaki,Parbat,100,0,9,0
2020-07-26,Gandaki,Parbat,100,0,9,0
2020-07-27,Gandaki,Parbat,100,0,9,0
2020-07-28,Gandaki,Parbat,100,0,9,0
2020-07-29,Gandaki,Parbat,100,0,9,0
2020-07-30,Gandaki,Parbat,100,0,9,0
2020-07-31,Gandaki,Parbat,100,0,9,0
2020-08-01,Gandaki,Parbat,100,0,9,0
2020-08-02,Gandaki,Parbat,100,0,9,0
2020-08-03,Gandaki,Parbat,100,0,92,0
2020-08-04,Gandaki,Parbat,102,0,92,0
2020-08-05,Gandaki,Parbat,102,0,92,0
2020-08-06,Gandaki,Parbat,103,0,92,0
2020-08-07,Gandaki,Parbat,103,0,92,0
2020-08-08,Gandaki,Parbat,103,0,92,0
2020-08-09,Gandaki,Parbat,104,0,92,0
2020-08-10,Gandaki,Parbat,105,0,92,0
2020-08-11,Gandaki,Parbat,107,0,92,0
2020-08-12,Gandaki,Parbat,107,0,92,0
2020-08-13,Gandaki,Parbat,107,0,92,0
2020-08-14,Gandaki,Parbat,108,0,92,0
2020-08-15,Gandaki,Parbat,108,0,92,0
2020-08-16,Gandaki,Parbat,109,0,92,0
2020-08-17,Gandaki,Parbat,109,0,92,0
2020-08-18,Gandaki,Parbat,109,0,92,0
