Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Province 5,Pyuthan,323,0,1,0
2020-07-08,Province 5,Pyuthan,324,0,1,0
2020-07-09,Province 5,Pyuthan,324,0,1,0
2020-07-10,Province 5,Pyuthan,324,0,1,0
2020-07-11,Province 5,Pyuthan,324,0,1,0
2020-07-12,Province 5,Pyuthan,324,0,1,0
2020-07-13,Province 5,Pyuthan,324,0,1,0
2020-07-14,Province 5,Pyuthan,327,0,1,0
2020-07-15,Province 5,Pyuthan,327,0,1,0
2020-07-16,Province 5,Pyuthan,328,0,1,0
2020-07-17,Province 5,Pyuthan,328,0,1,0
2020-07-18,Province 5,Pyuthan,328,0,1,0
2020-07-19,Province 5,Pyuthan,329,0,1,0
2020-07-20,Province 5,Pyuthan,329,0,1,0
2020-07-21,Province 5,Pyuthan,329,0,1,0
2020-07-22,Province 5,Pyuthan,329,0,1,0
2020-07-23,Province 5,Pyuthan,331,0,1,0
2020-07-24,Province 5,Pyuthan,331,0,1,0
2020-07-25,Province 5,Pyuthan,331,0,1,0
2020-07-26,Province 5,Pyuthan,331,0,1,0
2020-07-27,Province 5,Pyuthan,331,0,1,0
2020-07-28,Province 5,Pyuthan,331,0,1,0
2020-07-29,Province 5,Pyuthan,331,0,1,0
2020-07-30,Province 5,Pyuthan,334,0,1,0
2020-07-31,Province 5,Pyuthan,334,0,1,0
2020-08-01,Province 5,Pyuthan,334,0,1,0
2020-08-02,Province 5,Pyuthan,334,0,1,0
2020-08-03,Province 5,Pyuthan,338,0,331,0
2020-08-04,Province 5,Pyuthan,338,0,331,0
2020-08-05,Province 5,Pyuthan,338,0,331,0
2020-08-06,Province 5,Pyuthan,343,0,331,0
2020-08-07,Province 5,Pyuthan,343,0,331,0
2020-08-08,Province 5,Pyuthan,343,0,331,0
2020-08-09,Province 5,Pyuthan,343,0,331,0
2020-08-10,Province 5,Pyuthan,358,0,331,0
2020-08-11,Province 5,Pyuthan,375,0,331,0
2020-08-12,Province 5,Pyuthan,375,0,331,0
2020-08-13,Province 5,Pyuthan,378,0,331,0
2020-08-14,Province 5,Pyuthan,378,0,331,0
2020-08-15,Province 5,Pyuthan,378,0,331,0
2020-08-16,Province 5,Pyuthan,378,0,331,0
2020-08-17,Province 5,Pyuthan,406,0,331,0
2020-08-18,Province 5,Pyuthan,406,0,331,0
2020-08-19,Province 5,Pyuthan,408,0,331,0
