Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Province 2,Rautahat,1428,1,370,1
2020-07-08,Province 2,Rautahat,1461,1,370,1
2020-07-09,Province 2,Rautahat,1461,1,370,1
2020-07-10,Province 2,Rautahat,1463,1,370,1
2020-07-11,Province 2,Rautahat,1464,1,370,1
2020-07-12,Province 2,Rautahat,1464,1,370,1
2020-07-13,Province 2,Rautahat,1473,1,370,1
2020-07-14,Province 2,Rautahat,1474,1,370,1
2020-07-15,Province 2,Rautahat,1479,1,370,1
2020-07-16,Province 2,Rautahat,1491,2,370,1
2020-07-17,Province 2,Rautahat,1499,2,370,1
2020-07-18,Province 2,Rautahat,1499,2,370,1
2020-07-19,Province 2,Rautahat,1501,2,370,1
2020-07-20,Province 2,Rautahat,1501,2,370,1
2020-07-21,Province 2,Rautahat,1501,2,370,1
2020-07-22,Province 2,Rautahat,1501,2,370,1
2020-07-23,Province 2,Rautahat,1501,2,370,1
2020-07-24,Province 2,Rautahat,1501,2,370,1
2020-07-25,Province 2,Rautahat,1505,2,370,1
2020-07-26,Province 2,Rautahat,1506,2,370,1
2020-07-27,Province 2,Rautahat,1506,2,370,1
2020-07-28,Province 2,Rautahat,1507,2,370,1
2020-07-29,Province 2,Rautahat,1508,2,370,1
2020-07-30,Province 2,Rautahat,1510,2,370,1
2020-07-31,Province 2,Rautahat,1513,2,370,1
2020-08-01,Province 2,Rautahat,1514,2,370,1
2020-08-02,Province 2,Rautahat,1516,2,370,1
2020-08-03,Province 2,Rautahat,1522,2,750,0
2020-08-04,Province 2,Rautahat,1528,2,750,0
2020-08-05,Province 2,Rautahat,1530,2,750,0
2020-08-06,Province 2,Rautahat,1532,2,750,0
2020-08-07,Province 2,Rautahat,1537,2,750,0
2020-08-08,Province 2,Rautahat,1541,2,750,0
2020-08-09,Province 2,Rautahat,1542,2,750,0
2020-08-10,Province 2,Rautahat,1573,2,750,0
2020-08-11,Province 2,Rautahat,1593,2,750,0
2020-08-12,Province 2,Rautahat,1617,2,750,0
2020-08-13,Province 2,Rautahat,1642,2,750,0
2020-08-14,Province 2,Rautahat,1647,2,750,0
2020-08-15,Province 2,Rautahat,1651,2,750,0
2020-08-16,Province 2,Rautahat,1665,2,750,0
2020-08-17,Province 2,Rautahat,1676,3,750,0
2020-08-18,Province 2,Rautahat,1713,3,750,0
2020-08-19,Province 2,Rautahat,1717,3,750,0
2020-08-20,Province 2,Rautahat,1723,3,750,0
2020-08-21,Province 2,Rautahat,1734,3,750,0
2020-08-22,Province 2,Rautahat,1736,3,750,0
2020-08-23,Province 2,Rautahat,1745,3,750,0
2020-08-24,Province 2,Rautahat,1750,3,750,0
2020-08-25,Province 2,Rautahat,1794,3,750,0
2020-08-26,Province 2,Rautahat,1814,3,750,0
2020-08-27,Province 2,Rautahat,1829,3,750,0
2020-08-28,Province 2,Rautahat,1850,3,750,0
2020-08-29,Province 2,Rautahat,1855,3,750,0
2020-08-30,Province 2,Rautahat,1855,4,750,0
2020-08-31,Province 2,Rautahat,1856,5,750,0
2020-09-01,Province 2,Rautahat,1861,5,750,0
2020-09-02,Province 2,Rautahat,1879,5,750,0
