Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Province 5,Rupandehi,320,1,56,0
2020-07-08,Province 5,Rupandehi,320,1,56,0
2020-07-09,Province 5,Rupandehi,320,1,56,0
2020-07-10,Province 5,Rupandehi,321,1,56,0
2020-07-11,Province 5,Rupandehi,321,1,56,0
2020-07-12,Province 5,Rupandehi,321,1,56,0
2020-07-13,Province 5,Rupandehi,321,1,56,0
2020-07-14,Province 5,Rupandehi,321,1,56,0
2020-07-15,Province 5,Rupandehi,321,1,56,0
2020-07-16,Province 5,Rupandehi,322,1,56,0
2020-07-17,Province 5,Rupandehi,323,1,56,0
2020-07-18,Province 5,Rupandehi,323,1,56,0
2020-07-19,Province 5,Rupandehi,325,1,56,0
2020-07-20,Province 5,Rupandehi,325,1,56,0
2020-07-21,Province 5,Rupandehi,325,1,56,0
2020-07-22,Province 5,Rupandehi,325,1,56,0
2020-07-23,Province 5,Rupandehi,338,1,56,0
2020-07-24,Province 5,Rupandehi,342,1,56,0
2020-07-25,Province 5,Rupandehi,342,1,56,0
2020-07-26,Province 5,Rupandehi,343,1,56,0
2020-07-27,Province 5,Rupandehi,344,1,56,0
2020-07-28,Province 5,Rupandehi,346,1,56,0
2020-07-29,Province 5,Rupandehi,346,1,56,0
2020-07-30,Province 5,Rupandehi,347,1,56,0
2020-07-31,Province 5,Rupandehi,348,1,56,0
2020-08-01,Province 5,Rupandehi,350,1,56,0
2020-08-02,Province 5,Rupandehi,351,1,56,0
2020-08-03,Province 5,Rupandehi,352,1,311,0
2020-08-04,Province 5,Rupandehi,361,1,311,0
2020-08-05,Province 5,Rupandehi,361,1,311,0
2020-08-06,Province 5,Rupandehi,365,1,311,0
2020-08-07,Province 5,Rupandehi,365,1,311,0
2020-08-08,Province 5,Rupandehi,365,1,311,0
2020-08-09,Province 5,Rupandehi,370,1,311,0
2020-08-10,Province 5,Rupandehi,383,1,311,0
2020-08-11,Province 5,Rupandehi,416,1,311,0
