Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Karnali,Salyan,239,0,48,0
2020-07-08,Karnali,Salyan,239,0,48,0
2020-07-09,Karnali,Salyan,239,0,48,0
2020-07-10,Karnali,Salyan,240,0,48,0
2020-07-11,Karnali,Salyan,241,0,48,0
2020-07-12,Karnali,Salyan,241,0,48,0
2020-07-13,Karnali,Salyan,241,0,48,0
2020-07-14,Karnali,Salyan,241,0,48,0
2020-07-15,Karnali,Salyan,245,0,48,0
2020-07-16,Karnali,Salyan,247,0,48,0
2020-07-17,Karnali,Salyan,248,0,48,0
2020-07-18,Karnali,Salyan,249,0,48,0
2020-07-19,Karnali,Salyan,250,0,48,0
2020-07-20,Karnali,Salyan,253,0,48,0
2020-07-21,Karnali,Salyan,255,0,48,0
2020-07-22,Karnali,Salyan,259,0,48,0
