Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Province 2,Siraha,231,0,86,0
2020-07-08,Province 2,Siraha,233,0,86,0
2020-07-09,Province 2,Siraha,237,0,86,0
2020-07-10,Province 2,Siraha,239,0,86,0
2020-07-11,Province 2,Siraha,240,0,86,0
2020-07-12,Province 2,Siraha,240,0,86,0
2020-07-13,Province 2,Siraha,240,0,86,0
2020-07-14,Province 2,Siraha,241,0,86,0
2020-07-15,Province 2,Siraha,241,0,86,0
2020-07-16,Province 2,Siraha,241,0,86,0
2020-07-17,Province 2,Siraha,241,0,86,0
2020-07-18,Province 2,Siraha,241,0,86,0
2020-07-19,Province 2,Siraha,242,0,86,0
2020-07-20,Province 2,Siraha,243,0,86,0
2020-07-21,Province 2,Siraha,243,0,86,0
