Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Province 1,Sunsari,97,0,54,0
2020-07-08,Province 1,Sunsari,100,0,54,0
2020-07-09,Province 1,Sunsari,101,0,54,0
2020-07-10,Province 1,Sunsari,101,0,54,0
2020-07-11,Province 1,Sunsari,105,0,54,0
2020-07-12,Province 1,Sunsari,105,0,54,0
2020-07-13,Province 1,Sunsari,106,0,54,0
2020-07-14,Province 1,Sunsari,107,0,54,0
2020-07-15,Province 1,Sunsari,107,0,54,0
2020-07-16,Province 1,Sunsari,111,0,54,0
2020-07-17,Province 1,Sunsari,111,0,54,0
2020-07-18,Province 1,Sunsari,111,0,54,0
2020-07-19,Province 1,Sunsari,112,0,54,0
2020-07-20,Province 1,Sunsari,118,0,54,0
2020-07-21,Province 1,Sunsari,118,0,54,0
2020-07-22,Province 1,Sunsari,122,0,54,0
2020-07-23,Province 1,Sunsari,124,0,54,0
2020-07-24,Province 1,Sunsari,129,0,54,0
2020-07-25,Province 1,Sunsari,129,0,54,0
2020-07-26,Province 1,Sunsari,131,0,54,0
2020-07-27,Province 1,Sunsari,132,0,54,0
2020-07-28,Province 1,Sunsari,132,0,54,0
2020-07-29,Province 1,Sunsari,133,0,54,0
2020-07-30,Province 1,Sunsari,135,0,54,0
2020-07-31,Province 1,Sunsari,135,0,54,0
2020-08-01,Province 1,Sunsari,136,0,54,0
2020-08-02,Province 1,Sunsari,148,0,54,0
2020-08-03,Province 1,Sunsari,152,0,118,0
2020-08-04,Province 1,Sunsari,164,0,118,0
2020-08-05,Province 1,Sunsari,166,0,118,0
2020-08-06,Province 1,Sunsari,185,0,118,0
2020-08-07,Province 1,Sunsari,186,0,118,0
2020-08-08,Province 1,Sunsari,196,0,118,0
2020-08-09,Province 1,Sunsari,202,0,118,0
2020-08-10,Province 1,Sunsari,202,0,118,0
2020-08-11,Province 1,Sunsari,235,0,118,0
2020-08-12,Province 1,Sunsari,250,0,118,0
2020-08-13,Province 1,Sunsari,270,0,118,0
2020-08-14,Province 1,Sunsari,297,0,118,0
2020-08-15,Province 1,Sunsari,316,0,118,0
2020-08-16,Province 1,Sunsari,318,0,118,0
2020-08-17,Province 1,Sunsari,349,0,118,0
