Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Karnali,Surkhet,410,1,119,0
2020-07-08,Karnali,Surkhet,424,1,119,0
2020-07-09,Karnali,Surkhet,442,1,119,0
2020-07-10,Karnali,Surkhet,453,1,119,0
2020-07-11,Karnali,Surkhet,456,1,119,0
2020-07-12,Karnali,Surkhet,467,1,119,0
2020-07-13,Karnali,Surkhet,508,1,119,0
2020-07-14,Karnali,Surkhet,509,1,119,0
2020-07-15,Karnali,Surkhet,538,1,119,0
2020-07-16,Karnali,Surkhet,541,1,119,0
2020-07-17,Karnali,Surkhet,541,1,119,0
2020-07-18,Karnali,Surkhet,541,1,119,0
2020-07-19,Karnali,Surkhet,541,1,119,0
2020-07-20,Karnali,Surkhet,545,1,119,0
2020-07-21,Karnali,Surkhet,545,1,119,0
2020-07-22,Karnali,Surkhet,545,1,119,0
2020-07-23,Karnali,Surkhet,550,1,119,0
2020-07-24,Karnali,Surkhet,550,1,119,0
2020-07-25,Karnali,Surkhet,561,1,119,0
2020-07-26,Karnali,Surkhet,564,1,119,0
2020-07-27,Karnali,Surkhet,565,1,119,0
2020-07-28,Karnali,Surkhet,568,1,119,0
2020-07-29,Karnali,Surkhet,569,1,119,0
