Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Gandaki,Syangja,202,2,51,0
2020-07-08,Gandaki,Syangja,202,2,51,0
2020-07-09,Gandaki,Syangja,202,2,51,0
2020-07-10,Gandaki,Syangja,202,2,51,0
2020-07-11,Gandaki,Syangja,206,2,51,0
2020-07-12,Gandaki,Syangja,207,2,51,0
2020-07-13,Gandaki,Syangja,208,2,51,0
2020-07-14,Gandaki,Syangja,208,2,51,0
2020-07-15,Gandaki,Syangja,208,2,51,0
2020-07-16,Gandaki,Syangja,209,2,51,0
2020-07-17,Gandaki,Syangja,209,2,51,0
2020-07-18,Gandaki,Syangja,209,2,51,0
