Date,Province,District,Confirmed,Deaths,Recovered,Readmitted
2020-07-07,Province 1,Taplejung,11,0,4,0
2020-07-08,Province 1,Taplejung,11,0,4,0
2020-07-09,Province 1,Taplejung,11,0,4,0
2020-07-10,Province 1,Taplejung,11,0,4,0
2020-07-11,Province 1,Taplejung,11,0,4,0
2020-07-12,Province 1,Taplejung,11,0,4,0
2020-07-13,Province 1,Taplejung,11,0,4,0
2020-07-14,Province 1,Taplejung,11,0,4,0
2020-07-15,Province 1,Taplejung,12,0,4,0
2020-07-16,Province 1,Taplejung,12,0,4,0
2020-07-17,Province 1,Taplejung,12,0,4,0
2020-07-18,Province 1,Taplejung,12,0,4,0
2020-07-19,Province 1,Taplejung,12,0,4,0
